date_slot,mean,median,max,origin
2014-01-15-21,0.0,0.0,-0.0,0
2014-01-16-00,0.0,0.0,-0.0,0
2014-01-16-03,0.0,0.0,0.0,0
2014-01-16-06,0.0,0.0,-0.0,0
2014-01-16-09,0.0,0.0,-0.0,0
2014-01-16-12,0.0,0.0,-0.0,0
2014-01-16-18,0.0,0.0,-0.0,0
2014-01-16-21,0.0,0.0,-0.0,0
2014-01-17-00,0.0,0.0,-0.0,0
2014-01-17-03,0.0,0.0,-0.0,0
2014-01-17-06,0.0,0.0,-0.0,0
2014-01-17-09,0.0,0.0,0.0,0
2014-01-17-12,0.0,0.0,-0.0,0
2014-01-17-15,0.0,0.0,-0.0,0
2014-01-17-18,0.0,0.0,-0.0,0
2014-01-17-21,0.0,0.0,-0.0,0
2014-01-18-00,0.0,0.0,-0.0,0
2014-01-18-03,0.0,0.0,-0.0,0
2014-01-18-06,-202.31,-209.39,17.94,1
2014-01-18-09,0.0,0.0,0.0,0
2014-01-18-12,0.0,0.0,-0.0,0
2014-01-18-15,0.0,0.0,0.0,0
2014-01-18-21,0.0,0.0,-0.0,0
2014-01-19-00,0.0,0.0,-0.0,0
2014-01-19-03,0.0,0.0,-0.0,0
2014-01-19-06,0.0,0.0,-0.0,0
2014-01-19-09,0.0,0.0,-0.0,0
2014-01-19-12,0.0,0.0,-0.0,0
2014-01-19-15,0.0,0.0,-0.0,0
2014-01-19-18,0.0,0.0,-0.0,0
2014-01-19-21,0.0,0.0,-0.0,0
2014-01-20-00,0.0,0.0,-0.0,0
2014-01-20-03,0.0,0.0,-0.0,0
2014-01-20-06,0.0,0.0,-0.0,0
2014-01-20-09,0.0,0.0,-0.0,0
2014-01-20-12,0.0,0.0,-0.0,0
2014-01-20-15,0.0,0.0,-0.0,0
2014-01-20-18,-878.36,-199.25,385.56,1
2014-01-20-21,0.0,0.0,0.0,0
2014-01-21-00,0.0,0.0,-0.0,0
2014-01-21-03,0.0,0.0,-0.0,0
2014-01-21-06,0.0,0.0,-0.0,0
2014-01-21-09,0.0,0.0,0.0,0
2014-01-21-12,0.0,0.0,-0.0,0
2014-01-21-15,5752.83,5119.13,7903.78,1
2014-01-21-18,0.0,0.0,-0.0,0
2014-01-21-21,0.0,0.0,0.0,0
2014-01-22-00,0.0,0.0,0.0,1
2014-01-22-03,0.0,0.0,-0.0,0
2014-01-22-06,0.0,0.0,-0.0,0
2014-01-22-09,0.0,0.0,0.0,0
2014-01-22-12,0.0,0.0,-0.0,0
2014-01-22-15,0.0,0.0,0.0,0
2014-01-22-18,0.0,0.0,-0.0,0
2014-01-22-21,0.0,0.0,-0.0,0
2014-01-23-00,0.0,0.0,0.0,1
2014-01-23-03,0.0,0.0,-0.0,0
2014-01-23-06,0.0,0.0,-0.0,0
2014-01-23-09,0.0,0.0,0.0,0
2014-01-23-12,0.0,0.0,-0.0,0
2014-01-23-15,380.2,0.0,1585.91,0
2014-01-23-18,0.0,0.0,-0.0,0
2014-01-23-21,0.0,0.0,-0.0,0
2014-01-24-00,0.0,0.0,-0.0,0
2014-01-24-03,0.0,0.0,-0.0,0
2014-01-24-06,0.0,0.0,-0.0,0
2014-01-24-09,0.0,0.0,0.0,0
2014-01-24-12,0.0,0.0,-0.0,0
2014-01-24-15,0.0,0.0,-0.0,0
2014-01-24-18,0.0,0.0,-0.0,0
2014-01-24-21,0.0,0.0,-0.0,0
2014-01-25-00,0.0,0.0,0.0,0
2014-01-25-03,0.0,0.0,-0.0,0
2014-01-25-06,-5.72,0.0,179.1,1
2014-01-25-09,0.0,0.0,-0.0,0
2014-01-25-12,0.0,0.0,-0.0,0
2014-01-25-15,0.0,0.0,-0.0,0
2014-01-25-18,0.0,0.0,-0.0,0
2014-01-25-21,0.0,0.0,0.0,0
2014-01-26-00,0.0,0.0,0.0,0
2014-01-26-03,0.0,0.0,-0.0,0
2014-01-26-06,387.45,382.98,1150.5,1
2014-01-26-09,304.09,0.0,3040.89,0
2014-01-26-12,0.0,0.0,-0.0,0
2014-01-26-15,0.0,0.0,-0.0,0
2014-01-26-21,0.0,0.0,0.0,0
2014-01-27-00,0.0,0.0,-0.0,0
2014-01-27-03,0.0,0.0,-0.0,0
2014-01-27-06,-1002.44,82.43,574.11,1
2014-01-27-09,0.0,0.0,0.0,0
2014-01-27-12,0.0,0.0,-0.0,0
2014-01-27-15,0.0,0.0,-0.0,0
2014-01-27-21,7.06,0.0,153.97,0
2014-01-28-00,0.0,0.0,-0.0,0
2014-01-28-03,0.0,0.0,-0.0,0
2014-01-28-06,0.0,0.0,-0.0,0
2014-01-28-09,0.0,0.0,-0.0,0
2014-01-28-12,0.0,0.0,-0.0,0
2014-01-28-15,0.0,0.0,-0.0,0
2014-01-28-18,-189.87,-130.4,239.44,1
2014-01-28-21,0.0,0.0,0.0,0
2014-01-29-00,0.0,0.0,-0.0,0
2014-01-29-03,0.0,0.0,-0.0,0
2014-01-29-06,0.0,0.0,-0.0,0
2014-01-29-09,0.0,0.0,0.0,0
2014-01-29-12,0.0,0.0,-0.0,0
2014-01-29-15,0.0,0.0,0.0,0
2014-01-29-18,0.0,0.0,-0.0,0
2014-01-29-21,0.0,0.0,-0.0,0
2014-01-30-00,0.0,0.0,0.0,1
2014-01-30-03,0.0,0.0,-0.0,0
2014-01-30-06,0.0,0.0,-0.0,0
2014-01-30-09,0.0,0.0,0.0,0
2014-01-30-12,0.0,0.0,-0.0,0
2014-01-30-15,0.0,0.0,-0.0,0
