time,humidity_mean,humidity_median,humidity_max,humidity_p75
2012-01-01-00,102.7919692993164,104.61836242675781,108.30683898925781,104.83979797363281
2012-01-01-01,102.39261627197266,104.38453674316406,106.48048400878906,105.60255432128906
2012-01-01-02,102.4600601196289,103.81697082519531,105.75569152832031,105.63679504394531
2012-01-01-03,102.00704193115234,102.89894104003906,105.24879455566406,104.98414611816406
2012-01-01-04,101.85428619384766,102.37330627441406,105.50563049316406,105.18702697753906
2012-01-01-05,102.18551635742188,103.44552612304688,105.24996948242188,104.48825073242188
2012-01-01-06,101.59514617919922,102.84085083007812,104.17349243164062,103.72927856445312
2012-01-01-07,101.70262908935547,103.04911804199219,104.50346374511719,103.25407409667969
2012-01-01-08,101.49212646484375,102.83195495605469,104.00163269042969,103.41361999511719
2012-01-01-09,101.93722534179688,103.32293701171875,105.14764404296875,104.57342529296875
2012-01-01-10,105.91244506835938,106.92890930175781,110.27534484863281,108.01875305175781
2012-01-01-11,104.82650756835938,105.7940673828125,109.2117919921875,107.6063232421875
2012-01-01-12,103.33472442626953,105.12945556640625,108.00372314453125,106.23370361328125
2012-01-01-13,102.69056701660156,104.41845703125,107.3154296875,104.65380859375
2012-01-01-14,102.7262954711914,103.80607604980469,107.42643737792969,105.26432800292969
2012-01-01-15,102.4961166381836,103.26103210449219,106.29765319824219,104.54154968261719
2012-01-01-16,102.23702239990234,102.06346130371094,105.30003356933594,104.47923278808594
2012-01-01-17,101.90835571289062,102.1590576171875,104.5718994140625,103.1087646484375
2012-01-01-18,101.63809967041016,101.70895385742188,104.40060424804688,103.12301635742188
2012-01-01-19,101.16071319580078,100.94229125976562,104.49893188476562,103.50332641601562
2012-01-01-20,100.4832763671875,100.08644104003906,103.83595275878906,103.49488830566406
2012-01-01-21,99.18685913085938,99.37300109863281,102.43916320800781,101.83955383300781
2012-01-01-22,101.2524185180664,101.78717041015625,105.90606689453125,104.65460205078125
2012-01-01-23,100.13313293457031,101.15827941894531,104.72956848144531,102.81379699707031
2012-01-02-00,99.05470275878906,100.26400756835938,103.16708374023438,100.72543334960938
2012-01-02-01,97.71334838867188,98.37698364257812,101.77371215820312,99.75271606445312
2012-01-02-02,96.77119445800781,97.47369384765625,101.51129150390625,98.73175048828125
2012-01-02-03,96.28044891357422,97.14161682128906,101.38771057128906,97.93263244628906
2012-01-02-04,95.73928833007812,96.62356567382812,101.58010864257812,97.00100708007812
2012-01-02-05,95.6002426147461,96.21867370605469,100.83390808105469,97.11003112792969
2012-01-02-06,95.58157348632812,95.18586730957031,100.51057434082031,97.19990539550781
2012-01-02-07,95.54080200195312,94.25819396972656,99.57472229003906,97.05567932128906
2012-01-02-08,95.22090911865234,94.90895080566406,98.69715881347656,96.16236877441406
2012-01-02-09,95.50585174560547,95.69122314453125,98.21282958984375,96.39996337890625
2012-01-02-10,98.82393646240234,98.99079895019531,100.08290100097656,99.93672180175781
2012-01-02-11,97.9231948852539,98.10282897949219,100.26115417480469,98.42070007324219
2012-01-02-12,97.32225036621094,97.52938842773438,99.50778198242188,98.21261596679688
2012-01-02-13,97.12637329101562,97.16671752929688,98.71395874023438,98.46713256835938
2012-01-02-14,97.03663635253906,97.36288452148438,98.99752807617188,97.88595581054688
2012-01-02-15,96.99821472167969,97.34184265136719,98.99577331542969,97.64274597167969
2012-01-02-16,96.79827880859375,97.11640930175781,98.61445617675781,97.54768371582031
2012-01-02-17,97.05318450927734,97.27256774902344,99.24693298339844,97.65635681152344
2012-01-02-18,97.06690979003906,97.02725219726562,99.52725219726562,97.92593383789062
2012-01-02-19,97.6939926147461,96.92926025390625,102.10357666015625,99.56024169921875
2012-01-02-20,97.86460876464844,96.67713928222656,103.20057678222656,100.07899475097656
2012-01-02-21,97.07077026367188,95.971435546875,102.483642578125,98.7998046875
2012-01-02-22,100.61270904541016,100.34689331054688,105.81954956054688,102.37692260742188
2012-01-02-23,99.2690200805664,98.23039245605469,105.26969909667969,102.37101745605469
2012-01-03-00,98.88496398925781,98.75421142578125,104.90655517578125,102.17584228515625
2012-01-03-01,98.36741638183594,98.19424438476562,103.72354125976562,100.76821899414062
2012-01-03-02,97.09481048583984,97.92507934570312,100.68948364257812,98.81790161132812
2012-01-03-03,96.55477142333984,96.92494201660156,99.67591857910156,98.24012756347656
2012-01-03-04,95.96198272705078,95.52236938476562,99.50479125976562,97.78494262695312
2012-01-03-05,95.68521118164062,95.41018676757812,99.79495239257812,98.40347290039062
2012-01-03-06,95.35238647460938,95.49151611328125,99.79058837890625,98.38458251953125
2012-01-03-07,95.65652465820312,96.50459289550781,100.08808898925781,99.37739562988281
2012-01-03-08,95.72994995117188,96.89952087402344,100.05723571777344,99.71177673339844
2012-01-03-09,95.98072814941406,98.15298461914062,100.21597290039062,99.78164672851562
2012-01-03-10,103.60903930664062,105.28192138671875,107.83905029296875,105.75164794921875
2012-01-03-11,102.32534790039062,103.57011413574219,105.32768249511719,104.90873718261719
2012-01-03-12,102.08743286132812,102.65504455566406,105.13636779785156,104.84950256347656
2012-01-03-13,102.58322143554688,104.17825317382812,105.89358520507812,105.34817504882812
2012-01-03-14,102.57460021972656,104.42477416992188,106.67501831054688,106.23922729492188
2012-01-03-15,102.64458465576172,104.60592651367188,107.73068237304688,106.30734252929688
2012-01-03-16,103.08470153808594,106.00437927246094,108.01243591308594,106.97361755371094
2012-01-03-17,103.07170867919922,105.60057067871094,107.59153747558594,106.62742614746094
2012-01-03-18,104.72096252441406,106.33668518066406,111.33448791503906,109.70631408691406
2012-01-03-19,104.55496215820312,104.71134948730469,111.54948425292969,110.10417175292969
2012-01-03-20,105.06703186035156,104.80911254882812,112.51907348632812,110.43093872070312
2012-01-03-21,104.23257446289062,103.90298461914062,110.76724243164062,109.34390258789062
