time,temp_mean,temp_median,temp_max,temp_p75
2012-01-01-00,-34.23396682739258,-34.264404296875,-29.447021484375,-32.7144775390625
2012-01-01-03,-35.18929672241211,-35.75910949707031,-31.031082153320312,-33.42488098144531
2012-01-01-06,-34.17873764038086,-35.53208923339844,-28.933212280273438,-32.74229431152344
2012-01-01-09,-34.42060089111328,-36.04307556152344,-29.005477905273438,-32.58482360839844
2012-01-01-12,-34.60248947143555,-35.814361572265625,-32.154815673828125,-32.952178955078125
2012-01-01-15,-36.10426712036133,-37.09356689453125,-32.59771728515625,-33.65179443359375
2012-01-01-18,-36.573463439941406,-36.895538330078125,-33.334259033203125,-34.387115478515625
2012-01-01-21,-34.53031539916992,-34.22914123535156,-30.521377563476562,-31.710098266601562
2012-01-02-00,-35.09828186035156,-33.710235595703125,-31.156524658203125,-32.828155517578125
2012-01-02-03,-34.07075500488281,-33.055023193359375,-29.896087646484375,-32.308197021484375
2012-01-02-06,-31.48758888244629,-31.248291015625,-28.331298828125,-30.268310546875
2012-01-02-09,-29.54322052001953,-29.169509887695312,-27.968826293945312,-28.843338012695312
2012-01-02-12,-30.862876892089844,-30.872161865234375,-29.454010009765625,-29.571868896484375
2012-01-02-15,-29.47095489501953,-29.71978759765625,-26.72076416015625,-28.16961669921875
2012-01-02-18,-28.577640533447266,-28.073516845703125,-24.892486572265625,-27.016632080078125
2012-01-02-21,-28.49917221069336,-28.689468383789062,-23.829605102539062,-26.587173461914062
2012-01-03-00,-28.55350685119629,-29.967056274414062,-23.071548461914062,-25.458511352539062
2012-01-03-03,-31.650522232055664,-34.039276123046875,-25.363494873046875,-27.929656982421875
2012-01-03-06,-33.06010437011719,-33.57548522949219,-27.895065307617188,-30.398727416992188
2012-01-03-09,-33.38470458984375,-33.16975402832031,-29.215164184570312,-32.24494934082031
2012-01-03-12,-34.76735305786133,-35.12995910644531,-29.321609497070312,-34.31306457519531
2012-01-03-15,-35.850990295410156,-35.865570068359375,-32.674407958984375,-34.623870849609375
2012-01-03-18,-35.55588150024414,-35.1578369140625,-33.4287109375,-34.8369140625
2012-01-03-21,-35.063777923583984,-35.488555908203125,-31.945343017578125,-33.441802978515625
2012-01-04-00,-34.433990478515625,-34.249908447265625,-29.454010009765625,-31.572174072265625
2012-01-04-03,-34.757476806640625,-35.883453369140625,-30.491119384765625,-31.457672119140625
2012-01-04-06,-34.78260040283203,-36.53865051269531,-30.278396606445312,-31.807693481445312
2012-01-04-09,-32.48403549194336,-33.82472229003906,-28.315200805664062,-30.078018188476562
2012-01-04-12,-32.430599212646484,-32.119293212890625,-28.413970947265625,-31.851837158203125
2012-01-04-15,-30.93824005126953,-31.031204223632812,-26.991165161132812,-30.827346801757812
2012-01-04-18,-30.29500389099121,-30.593490600585938,-27.504379272460938,-29.656234741210938
2012-01-04-21,-29.74607276916504,-29.22161865234375,-27.73248291015625,-28.89593505859375
2012-01-05-00,-28.581525802612305,-28.364593505859375,-25.781341552734375,-28.058563232421875
2012-01-05-03,-28.74571418762207,-29.392837524414062,-25.156509399414062,-26.806411743164062
2012-01-05-06,-29.03818130493164,-29.7713623046875,-24.5755615234375,-25.9581298828125
2012-01-05-09,-29.154510498046875,-29.618743896484375,-24.782073974609375,-27.452606201171875
2012-01-05-12,-30.21286392211914,-30.19287109375,-26.5126953125,-28.502197265625
2012-01-05-15,-31.384429931640625,-31.326446533203125,-28.183380126953125,-29.440093994140625
2012-01-05-18,-31.12189483642578,-32.01060485839844,-27.043685913085938,-28.069198608398438
2012-01-05-21,-29.81100082397461,-32.05155944824219,-23.334030151367188,-24.557174682617188
2012-01-06-00,-25.882530212402344,-26.400787353515625,-19.150299072265625,-21.483551025390625
2012-01-06-03,-24.544044494628906,-24.338912963867188,-17.132598876953125,-21.075973510742188
2012-01-06-06,-23.852670669555664,-23.339462280273438,-16.360198974609375,-21.244491577148438
2012-01-06-09,-24.92051124572754,-22.46673583984375,-18.22406005859375,-21.79583740234375
2012-01-06-12,-25.081863403320312,-23.265457153320312,-21.111648559570312,-22.100173950195312
2012-01-06-15,-25.074745178222656,-25.051986694335938,-23.100570678710938,-24.551376342773438
2012-01-06-18,-24.99799346923828,-25.04193115234375,-23.53668212890625,-24.14691162109375
2012-01-06-21,-24.725482940673828,-24.068649291992188,-22.156051635742188,-23.146774291992188
2012-01-07-00,-24.641990661621094,-25.031692504882812,-20.772903442382812,-23.392410278320312
2012-01-07-03,-29.24540138244629,-29.1646728515625,-25.18359375,-27.7607421875
2012-01-07-06,-31.315982818603516,-32.818450927734375,-27.781585693359375,-29.076385498046875
2012-01-07-09,-34.07939147949219,-34.68623352050781,-30.208816528320312,-31.763259887695312
2012-01-07-12,-33.90718460083008,-32.8909912109375,-31.6334228515625,-32.01025390625
2012-01-07-15,-32.92630386352539,-33.27922058105469,-29.181076049804688,-30.254684448242188
2012-01-07-18,-31.37519645690918,-30.317306518554688,-27.716232299804688,-28.744064331054688
2012-01-07-21,-29.64116096496582,-27.27532958984375,-26.11370849609375,-26.51947021484375
2012-01-08-00,-29.21816635131836,-27.268325805664062,-25.208999633789062,-26.440444946289062
2012-01-08-03,-28.24715805053711,-27.43951416015625,-23.92803955078125,-26.95562744140625
2012-01-08-06,-29.0086669921875,-28.194961547851562,-25.572402954101562,-26.981216430664062
2012-01-08-09,-26.38886260986328,-26.339614868164062,-23.315933227539062,-24.353042602539062
2012-01-08-12,-27.275718688964844,-27.428680419921875,-25.618621826171875,-25.927886962890625
2012-01-08-15,-26.939266204833984,-26.860015869140625,-25.764007568359375,-26.517364501953125
2012-01-08-18,-26.54271697998047,-26.448410034179688,-25.079147338867188,-25.319747924804688
2012-01-08-21,-26.419158935546875,-26.670135498046875,-23.594573974609375,-25.370208740234375
2012-01-09-00,-25.88605308532715,-26.148666381835938,-22.406478881835938,-24.933456420898438
2012-01-09-03,-25.96982192993164,-25.602783203125,-22.7935791015625,-24.4334716796875
2012-01-09-06,-28.297733306884766,-27.374053955078125,-25.758697509765625,-26.753326416015625
2012-01-09-09,-30.79998779296875,-30.300369262695312,-27.180618286132812,-29.758010864257812
2012-01-09-12,-31.92238998413086,-31.48291015625,-27.228271484375,-30.105712890625
2012-01-09-15,-33.13759994506836,-32.86671447753906,-28.058853149414062,-30.524917602539062
2012-01-09-18,-32.23457336425781,-32.90730285644531,-27.462966918945312,-31.364944458007812
2012-01-09-21,-31.32607650756836,-32.80177307128906,-25.556655883789062,-29.848648071289062
2012-01-10-00,-31.08608055114746,-30.70953369140625,-26.48223876953125,-30.48321533203125
2012-01-10-03,-31.79105567932129,-32.3536376953125,-27.649169921875,-28.7755126953125
2012-01-10-06,-29.92366600036621,-31.9599609375,-20.8828125,-26.22705078125
2012-01-10-09,-25.163185119628906,-25.292739868164062,-16.019073486328125,-21.566177368164062
2012-01-10-12,-23.319175720214844,-22.326934814453125,-13.790802001953125,-18.759552001953125
2012-01-10-15,-21.45474624633789,-20.424087524414062,-11.862091064453125,-15.692169189453125
2012-01-10-18,-20.85666847229004,-19.66754150390625,-12.27789306640625,-14.25006103515625
2012-01-10-21,-19.34688377380371,-18.8031005859375,-10.6693115234375,-12.0032958984375
2012-01-11-00,-16.476062774658203,-14.125091552734375,-8.186614990234375,-9.604583740234375
2012-01-11-03,-15.74813175201416,-12.600128173828125,-7.417022705078125,-9.055206298828125
2012-01-11-06,-13.826248168945312,-10.739654541015625,-6.743560791015625,-6.960845947265625
2012-01-11-09,-15.481184005737305,-11.944427490234375,-9.160247802734375,-9.877777099609375
2012-01-11-12,-15.20546817779541,-14.599945068359375,-8.566497802734375,-10.181488037109375
2012-01-11-15,-13.767436027526855,-13.29852294921875,-4.50115966796875,-7.52069091796875
2012-01-11-18,-15.042238235473633,-14.623016357421875,-6.155242919921875,-9.006805419921875
2012-01-11-21,-15.38504695892334,-14.742034912109375,-8.014984130859375,-10.014007568359375
2012-01-12-00,-16.307289123535156,-16.252655029296875,-11.127899169921875,-12.263153076171875
2012-01-12-03,-15.640836715698242,-15.608551025390625,-11.780792236328125,-14.079742431640625
2012-01-12-06,-15.75606632232666,-15.610382080078125,-13.695098876953125,-14.531158447265625
2012-01-12-09,-16.642696380615234,-16.193450927734375,-15.204315185546875,-15.799713134765625
2012-01-12-12,-18.30891990661621,-17.5892333984375,-17.152587890625,-17.5037841796875
2012-01-12-15,-21.022727966308594,-20.825958251953125,-19.406707763671875,-19.966217041015625
2012-01-12-18,-21.81279945373535,-21.515701293945312,-20.230911254882812,-21.139663696289062
2012-01-12-21,-22.462072372436523,-22.308242797851562,-20.507766723632812,-22.212295532226562
2012-01-13-00,-23.082366943359375,-23.269195556640625,-20.716827392578125,-22.408355712890625
2012-01-13-03,-24.242958068847656,-24.670135498046875,-21.670135498046875,-23.212493896484375
2012-01-13-06,-24.740379333496094,-25.413055419921875,-22.046478271484375,-23.441009521484375
2012-01-13-09,-25.519935607910156,-26.053436279296875,-23.031219482421875,-24.090301513671875
2012-01-13-12,-26.641998291015625,-26.950714111328125,-23.952423095703125,-25.342193603515625
2012-01-13-15,-27.403255462646484,-27.102569580078125,-24.899200439453125,-26.322540283203125
2012-01-13-18,-28.57593536376953,-27.66265869140625,-25.94049072265625,-27.11053466796875
2012-01-13-21,-30.827659606933594,-29.986053466796875,-28.522064208984375,-29.105560302734375
2012-01-14-00,-32.89463806152344,-32.15260314941406,-29.638076782226562,-31.052383422851562
2012-01-14-03,-33.75844955444336,-32.26548767089844,-31.326156616210938,-32.08885192871094
2012-01-14-06,-35.56044387817383,-34.44500732421875,-32.85845947265625,-33.60113525390625
2012-01-14-09,-35.87713623046875,-35.15301513671875,-32.12628173828125,-34.14227294921875
2012-01-14-12,-37.50961685180664,-36.8690185546875,-33.3690185546875,-35.7501220703125
2012-01-14-15,-38.00640869140625,-36.97404479980469,-33.26628112792969,-35.67179870605469
2012-01-14-18,-38.170127868652344,-36.934478759765625,-33.132965087890625,-36.609771728515625
2012-01-14-21,-38.1028938293457,-37.168975830078125,-33.157989501953125,-36.096954345703125
2012-01-15-00,-36.07741165161133,-35.29084777832031,-30.872390747070312,-33.99958801269531
2012-01-15-03,-37.00100326538086,-35.967529296875,-31.413818359375,-33.712646484375
2012-01-15-06,-38.05181121826172,-36.839599609375,-33.6376953125,-34.105224609375
2012-01-15-09,-38.02996826171875,-37.43171691894531,-34.84870910644531,-35.24690246582031
2012-01-15-12,-38.64601135253906,-37.80931091308594,-33.87010192871094,-35.74998474121094
2012-01-15-15,-38.19841003417969,-38.24552917480469,-33.94450378417969,-35.12199401855469
2012-01-15-18,-37.50326156616211,-38.76042175292969,-31.566329956054688,-34.74626159667969
2012-01-15-21,-37.62461853027344,-38.15760803222656,-30.629531860351562,-36.95057678222656
2012-01-16-00,-36.09871292114258,-37.23036193847656,-29.159072875976562,-35.68446350097656
2012-01-16-03,-34.114501953125,-34.196533203125,-26.498291015625,-32.38720703125
2012-01-16-06,-33.186832427978516,-32.550140380859375,-24.841156005859375,-31.875335693359375
2012-01-16-09,-32.79214096069336,-32.48219299316406,-24.145034790039062,-30.983901977539062
2012-01-16-12,-32.68520736694336,-33.6151123046875,-25.1197509765625,-30.9771728515625
2012-01-16-15,-30.819252014160156,-33.121795654296875,-23.146942138671875,-27.428436279296875
2012-01-16-18,-31.88349723815918,-34.11456298828125,-25.66680908203125,-28.56671142578125
2012-01-16-21,-31.83939552307129,-33.5711669921875,-25.8157958984375,-28.7689208984375
2012-01-17-00,-30.555908203125,-31.494247436523438,-25.573593139648438,-27.582870483398438
2012-01-17-03,-31.50027847290039,-31.87310791015625,-26.37921142578125,-29.84820556640625
2012-01-17-06,-32.96091079711914,-33.263916015625,-27.13037109375,-32.0234375
2012-01-17-09,-33.36495590209961,-32.96684265136719,-28.355270385742188,-31.315475463867188
2012-01-17-12,-34.313446044921875,-33.802703857421875,-29.134246826171875,-32.190643310546875
2012-01-17-15,-35.8588981628418,-35.686614990234375,-31.175872802734375,-33.827728271484375
2012-01-17-18,-34.91752624511719,-34.82499694824219,-29.154586791992188,-32.98149108886719
2012-01-17-21,-34.87689208984375,-34.26277160644531,-28.057937622070312,-32.88703918457031
2012-01-18-00,-34.668575286865234,-34.719573974609375,-29.276458740234375,-33.132659912109375
2012-01-18-03,-35.13371276855469,-34.86773681640625,-28.17755126953125,-34.13824462890625
2012-01-18-06,-35.16252136230469,-35.41691589355469,-29.310470581054688,-34.59245300292969
2012-01-18-09,-34.595603942871094,-35.069427490234375,-30.324310302734375,-32.599212646484375
2012-01-18-12,-34.54085159301758,-34.533447265625,-29.9990234375,-32.296875
2012-01-18-15,-33.91337966918945,-33.867889404296875,-28.984344482421875,-32.076385498046875
2012-01-18-18,-33.83872985839844,-33.6865234375,-28.89697265625,-31.381103515625
2012-01-18-21,-32.13283157348633,-32.39422607421875,-25.89495849609375,-30.87689208984375
2012-01-19-00,-30.25531005859375,-29.463668823242188,-24.033493041992188,-29.231002807617188
2012-01-19-03,-30.15825080871582,-30.03192138671875,-25.51873779296875,-28.33807373046875
2012-01-19-06,-29.30864715576172,-28.527938842773438,-26.537704467773438,-28.255722045898438
2012-01-19-09,-25.703144073486328,-24.739913940429688,-23.994796752929688,-24.630661010742188
2012-01-19-12,-25.9361572265625,-25.607177734375,-22.9849853515625,-24.736328125
2012-01-19-15,-28.036970138549805,-28.450286865234375,-23.537689208984375,-26.850921630859375
2012-01-19-18,-28.58466911315918,-28.484817504882812,-23.423294067382812,-27.121536254882812
2012-01-19-21,-26.96146011352539,-26.70440673828125,-22.51788330078125,-24.78765869140625
2012-01-20-00,-28.29232406616211,-27.21051025390625,-23.48834228515625,-26.01617431640625
2012-01-20-03,-30.45482063293457,-29.688980102539062,-24.701187133789062,-27.102310180664062
2012-01-20-06,-28.81553077697754,-28.291824340820312,-21.969314575195312,-24.886306762695312
2012-01-20-09,-27.93042755126953,-26.691116333007812,-20.166946411132812,-23.464797973632812
2012-01-20-12,-26.575014114379883,-26.184280395507812,-18.874221801757812,-22.285110473632812
2012-01-20-15,-24.938608169555664,-24.477508544921875,-17.115203857421875,-20.516082763671875
2012-01-20-18,-24.612831115722656,-24.531341552734375,-17.537689208984375,-20.889495849609375
2012-01-20-21,-25.703853607177734,-24.884735107421875,-18.942352294921875,-21.692840576171875
2012-01-21-00,-24.75397491455078,-23.551528930664062,-18.986587524414062,-21.834487915039062
2012-01-21-03,-26.359846115112305,-24.942962646484375,-22.250091552734375,-24.559906005859375
2012-01-21-06,-28.01996612548828,-27.60595703125,-23.88037109375,-27.06494140625
2012-01-21-09,-28.12501335144043,-27.9783935546875,-22.1885986328125,-25.6651611328125
2012-01-21-12,-28.354202270507812,-28.837600708007812,-21.600051879882812,-23.783889770507812
2012-01-21-15,-28.71847152709961,-28.87322998046875,-21.76239013671875,-23.96185302734375
2012-01-21-18,-29.52225685119629,-29.398178100585938,-23.362045288085938,-25.598861694335938
2012-01-21-21,-29.247671127319336,-30.177032470703125,-22.875030517578125,-24.511505126953125
2012-01-22-00,-26.028362274169922,-27.024673461914062,-20.172866821289062,-22.653335571289062
2012-01-22-03,-26.649702072143555,-26.873931884765625,-22.382232666015625,-24.507720947265625
2012-01-22-06,-25.90536880493164,-25.078857421875,-22.390380859375,-23.07421875
2012-01-22-09,-24.650175094604492,-24.462417602539062,-21.323013305664062,-22.344985961914062
2012-01-22-12,-22.839609146118164,-22.387298583984375,-19.845672607421875,-21.299774169921875
2012-01-22-15,-22.2021427154541,-22.080276489257812,-20.035476684570312,-21.383987426757812
2012-01-22-18,-22.60741424560547,-22.41375732421875,-20.94512939453125,-22.275634765625
2012-01-22-21,-23.958925247192383,-24.447830200195312,-20.874954223632812,-22.689651489257812
2012-01-23-00,-23.841758728027344,-24.284454345703125,-20.297637939453125,-22.830718994140625
2012-01-23-03,-24.422536849975586,-25.063568115234375,-20.855804443359375,-22.952606201171875
2012-01-23-06,-25.191225051879883,-25.644119262695312,-22.095657348632812,-23.909622192382812
2012-01-23-09,-26.24327850341797,-26.55889892578125,-23.37457275390625,-25.24371337890625
2012-01-23-12,-26.63749885559082,-26.8514404296875,-24.9388427734375,-25.76531982421875
2012-01-23-15,-27.09113121032715,-27.153060913085938,-25.833053588867188,-26.376022338867188
2012-01-23-18,-27.545551300048828,-27.640426635742188,-25.968185424804688,-27.217758178710938
2012-01-23-21,-27.49642562866211,-27.31243896484375,-26.051025390625,-26.15008544921875
2012-01-24-00,-27.996484756469727,-27.811630249023438,-25.143051147460938,-26.920028686523438
2012-01-24-03,-28.554738998413086,-28.242401123046875,-26.914947509765625,-27.327301025390625
2012-01-24-06,-29.1658935546875,-28.561813354492188,-27.457504272460938,-28.008651733398438
2012-01-24-09,-29.766117095947266,-29.437408447265625,-27.776336669921875,-28.757232666015625
2012-01-24-12,-30.0457763671875,-30.13458251953125,-28.9404296875,-29.04193115234375
2012-01-24-15,-30.13364028930664,-30.00115966796875,-29.09814453125,-29.49298095703125
2012-01-24-18,-29.99857521057129,-29.64483642578125,-28.79656982421875,-29.3585205078125
2012-01-24-21,-29.32466697692871,-29.04498291015625,-27.805908203125,-28.249267578125
2012-01-25-00,-29.650211334228516,-29.331268310546875,-28.575347900390625,-28.637420654296875
2012-01-25-03,-30.24549102783203,-30.63568115234375,-27.52032470703125,-28.45587158203125
2012-01-25-06,-30.00356101989746,-30.535598754882812,-26.599197387695312,-27.850662231445312
2012-01-25-09,-30.02557373046875,-30.41607666015625,-26.98016357421875,-28.16192626953125
2012-01-25-12,-31.70563507080078,-31.871444702148438,-28.584945678710938,-29.567855834960938
2012-01-25-15,-31.065298080444336,-31.232574462890625,-28.183013916015625,-29.328643798828125
2012-01-25-18,-31.99045181274414,-31.885986328125,-29.486572265625,-30.5299072265625
2012-01-25-21,-30.63410186767578,-30.9471435546875,-28.1600341796875,-29.1544189453125
2012-01-26-00,-29.63687515258789,-29.073165893554688,-27.222457885742188,-28.437789916992188
2012-01-26-03,-30.109182357788086,-29.676483154296875,-28.136810302734375,-28.830780029296875
2012-01-26-06,-29.67905616760254,-29.840408325195312,-27.390823364257812,-27.920730590820312
2012-01-26-09,-29.321298599243164,-29.429779052734375,-26.910980224609375,-27.752166748046875
2012-01-26-12,-30.783321380615234,-31.006683349609375,-27.951385498046875,-29.802947998046875
2012-01-26-15,-31.38567352294922,-31.489913940429688,-29.465682983398438,-30.470504760742188
2012-01-26-18,-32.065460205078125,-31.668121337890625,-30.013641357421875,-31.546173095703125
2012-01-26-21,-32.14154815673828,-32.16033935546875,-30.74102783203125,-31.71783447265625
2012-01-27-00,-31.158132553100586,-31.114105224609375,-30.087005615234375,-30.541046142578125
2012-01-27-03,-34.52709197998047,-34.36773681640625,-33.37420654296875,-33.88031005859375
