time,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1
2012-01-01-00,0.03910850238502578,0.04273359104990959,0.11859912425279617,0.04625585302710533,0.1111111111111111
2012-01-01-03,0.09502123558366489,0.11367897689342499,0.1538487821817398,0.12560363113880157,0.5555555555555556
2012-01-01-06,0.002737820581389139,0.0029403017833828926,0.005765468813478947,0.0030258670449256897,0.0
2012-01-01-09,0.003421305328240604,0.0019497688626870513,0.013014113530516624,0.003915092442184687,0.0
2012-01-01-12,0.0018285501823120391,0.0023905353154987097,0.0033638838212937117,0.0025022358167916536,0.0
2012-01-01-15,0.0017016816143814492,0.0011952361091971397,0.004660454578697681,0.0022317981347441673,0.0
2012-01-01-18,0.0033252098599285285,0.0020868589635938406,0.009526031091809273,0.005001666024327278,0.0
2012-01-02-00,0.005767277549108446,0.001125037670135498,0.020737294107675552,0.013074371963739395,0.0
2012-01-02-03,0.0005625959104543354,0.0002416200004518032,0.0025018234737217426,0.0008136266842484474,0.0
2012-01-02-06,0.09399782653001218,0.11023379862308502,0.1273198425769806,0.11842198669910431,0.5555555555555556
2012-01-02-09,0.07347906209926827,0.06363069266080856,0.12071704119443893,0.09190378338098526,0.2222222222222222
2012-01-02-12,0.12026960278224413,0.11727558821439743,0.1360706090927124,0.13378514349460602,0.8888888888888888
2012-01-02-15,0.12401882376301188,0.11716282367706299,0.18586649000644684,0.17118512094020844,0.5555555555555556
2012-01-02-18,0.05382608014299813,0.041371144354343414,0.12172379344701767,0.10433786362409592,0.3333333333333333
2012-01-02-21,0.01342370958149942,0.0070231035351753235,0.05586352199316025,0.021511688828468323,0.0
2012-01-03-00,0.0005823148338863382,0.00035919947549700737,0.002133485395461321,0.0006656046025454998,0.0
2012-01-03-03,0.0004031492972263052,0.0005388283170759678,0.0009933137334883213,0.0006562331691384315,0.0
2012-01-03-06,0.0,0.0,0.0,0.0,0.0
2012-01-03-09,6.251992342747865e-05,0.0,0.000387030013371259,2.2824679035693407e-05,0.0
2012-01-03-12,0.00017239011927407415,0.0,0.000774060026742518,0.00033479591365903616,0.0
2012-01-03-15,4.734946389728744e-05,0.0,0.00042610190575942397,0.0,0.0
2012-01-03-18,0.0006535551579774086,0.0004595494829118252,0.0025565968826413155,0.0006656046025454998,0.0
2012-01-03-21,0.020689905755485898,0.007397495210170746,0.057217665016651154,0.053958967328071594,0.0
2012-01-04-00,0.06632942422672317,0.07069623470306396,0.0805361196398735,0.07162848114967346,0.0
2012-01-04-03,0.054753880280973916,0.03611808642745018,0.0932193398475647,0.08355593681335449,0.0
2012-01-04-06,0.00127549906321425,0.0008360366337001324,0.0037886202335357666,0.001601874828338623,0.0
2012-01-04-09,0.0010753867103499243,0.00048318179324269295,0.0027008354663848877,0.0017546117305755615,0.0
2012-01-04-12,0.0022093146378749256,0.001627471181564033,0.006327739916741848,0.0031482046470046043,0.0
2012-01-04-15,0.008844030337493081,0.00652717798948288,0.019388742744922638,0.01520291343331337,0.0
2012-01-04-18,0.02535618237542183,0.019231757149100304,0.05177030339837074,0.02839038334786892,0.0
2012-01-04-21,0.0012166047200028336,0.0006960472092032433,0.004659406840801239,0.001125037670135498,0.0
2012-01-05-00,0.024350997022298582,0.02359972521662712,0.04303177073597908,0.026620935648679733,0.0
2012-01-05-03,0.0167682373178668,0.012726129963994026,0.053628887981176376,0.027352550998330116,0.0
2012-01-05-06,0.005675679488467821,0.0086943618953228,0.010263640433549881,0.008981907740235329,0.0
2012-01-05-09,0.00023206824298896482,0.0,0.0015471887309104204,0.00014094985090196133,0.0
2012-01-05-12,0.0,0.0,0.0,0.0,0.0
2012-01-05-15,0.0,0.0,0.0,0.0,0.0
2012-01-05-18,0.0044378754819307635,0.0,0.022415071725845337,0.0014291144907474518,0.0
2012-01-05-21,0.04048306906999979,0.0323372446000576,0.078216053545475,0.04871920868754387,0.0
2012-01-06-00,0.003411732932803465,0.0032329570967704058,0.010467237792909145,0.003953568171709776,0.0
2012-01-06-03,0.0010407099052847913,0.00041641760617494583,0.0031917006708681583,0.0014278339222073555,0.0
2012-01-06-06,0.04949504105819474,0.009783410467207432,0.1638427972793579,0.10281508415937424,0.3333333333333333
