time,tcc_mean,tcc_median,tcc_max,tcc_p75
2017-01-01-00,0.48913171887397766,0.43342697620391846,0.967042088508606,0.714722752571106
2017-01-01-03,0.9485974907875061,0.9530563950538635,0.9969978928565979,0.9890328049659729
2017-01-01-06,0.9646591544151306,0.992942214012146,0.9999994039535522,0.9955285787582397
2017-01-01-09,0.84629887342453,0.9929443001747131,0.9999938607215881,0.9999938607215881
2017-01-01-12,0.9881210327148438,0.9929827451705933,0.9981144666671753,0.9970616102218628
2017-01-01-15,0.9788269400596619,0.9899906516075134,1.0000004768371582,0.9964861273765564
2017-01-01-18,0.9815130233764648,0.9804884791374207,1.000000238418579,0.9925262331962585
2017-01-01-21,0.9506165385246277,0.9500120878219604,0.982634425163269,0.965936541557312
2017-01-02-00,0.57166987657547,0.6998403072357178,0.9574849605560303,0.8528707027435303
2017-01-02-03,0.1739179790019989,0.0605316162109375,0.73748779296875,0.2364044189453125
2017-01-02-06,0.021778954192996025,0.00516510009765625,0.12673187255859375,0.00609588623046875
2017-01-02-09,0.041461944580078125,0.010009765625,0.207000732421875,0.0476226806640625
2017-01-02-12,0.3852623701095581,0.253326416015625,0.990142822265625,0.6548309326171875
2017-01-02-15,0.2954134941101074,0.11901341378688812,0.7671915292739868,0.5449320077896118
2017-01-02-18,0.21886321902275085,0.1726689338684082,0.4223942756652832,0.40073442459106445
2017-01-02-21,0.7901735305786133,0.8185727000236511,0.9420620799064636,0.8929669260978699
2017-01-03-00,0.8814994692802429,0.8838590383529663,0.9730466604232788,0.9269803762435913
2017-01-03-03,0.8229958415031433,0.9102574586868286,0.9574605226516724,0.9256840944290161
2017-01-03-06,0.5743086338043213,0.5494148135185242,0.9099799990653992,0.7528907656669617
2017-01-03-09,0.6942073106765747,0.762836217880249,1.0000035762786865,0.952655553817749
2017-01-03-12,0.9770943522453308,0.9895130395889282,0.9981170892715454,0.9951549768447876
2017-01-03-15,0.9755315780639648,0.9860416650772095,0.9999996423721313,0.9918724298477173
2017-01-03-18,0.9290509819984436,0.9382885098457336,0.9999988675117493,0.9559658169746399
2017-01-03-21,0.9334146976470947,0.9858183860778809,0.9995207786560059,0.9939055442810059
2017-01-04-00,0.8845226764678955,0.9561914801597595,0.993041455745697,0.9891809821128845
2017-01-04-03,0.9909554719924927,0.989990234375,1.0,1.0
2017-01-04-06,1.0,1.0,1.0,1.0
2017-01-04-09,1.0,1.0,1.0,1.0
2017-01-04-12,0.9984309077262878,1.0,1.0,1.0
2017-01-04-15,0.8808618783950806,0.999996542930603,0.999996542930603,0.999996542930603
2017-01-04-18,0.7701002359390259,0.9482024908065796,1.000006079673767,0.9989989995956421
2017-01-04-21,0.7471827268600464,0.821455717086792,0.9999988079071045,0.9930408000946045
2017-01-05-00,0.8505358099937439,0.9684998393058777,0.9999939799308777,0.9999939799308777
2017-01-05-03,0.8809476494789124,0.9441148042678833,0.9894715547561646,0.9776231050491333
2017-01-05-06,0.7545627355575562,0.7345381379127502,0.9999952912330627,0.7560988068580627
2017-01-05-09,0.8017770648002625,0.9539275169372559,0.9999938011169434,0.9689421653747559
2017-01-05-12,0.9717311859130859,0.9949381947517395,1.000000238418579,1.000000238418579
2017-01-05-15,0.7014786005020142,0.6839920282363892,1.0000015497207642,0.9363418817520142
2017-01-05-18,0.7811954617500305,0.783180832862854,0.9336172342300415,0.851662278175354
2017-01-05-21,0.5957205891609192,0.6076580882072449,0.8169323801994324,0.7578808665275574
2017-01-06-00,0.49034246802330017,0.5820647478103638,0.7705718278884888,0.7164336442947388
2017-01-06-03,0.36405494809150696,0.36778828501701355,0.6413325667381287,0.6177272200584412
2017-01-06-06,0.3408094644546509,0.285635381937027,0.8174194097518921,0.7127441167831421
2017-01-06-09,0.3110724687576294,0.096435546875,0.8551025390625,0.695159912109375
2017-01-06-12,0.2977328896522522,0.301422119140625,0.7147674560546875,0.4484405517578125
2017-01-06-15,0.1784956157207489,0.026611328125,0.5574188232421875,0.337890625
2017-01-06-18,0.12559764087200165,0.012481689453125,0.404144287109375,0.30504608154296875
2017-01-06-21,0.2560567259788513,0.15066766738891602,0.7119927406311035,0.4896416664123535
2017-01-07-00,0.378631591796875,0.278289794921875,0.851654052734375,0.57220458984375
2017-01-07-03,0.27326488494873047,0.19588416814804077,0.7146219611167908,0.42653602361679077
2017-01-07-06,0.024504980072379112,0.0029582977294921875,0.10640144348144531,0.03070831298828125
2017-01-07-09,0.1727667897939682,0.029052734375,0.79937744140625,0.2503662109375
2017-01-07-12,0.12684208154678345,0.07232666015625,0.3673858642578125,0.19620513916015625
2017-01-07-15,0.444973886013031,0.466726154088974,0.8522089123725891,0.8194635510444641
2017-01-07-18,0.2849760353565216,0.14095339179039001,0.7082599401473999,0.4747699201107025
2017-01-07-21,0.0026810169219970703,0.0,0.014060258865356445,0.003760099411010742
2017-01-08-00,0.1845635324716568,0.022125244140625,0.673858642578125,0.289337158203125
2017-01-08-03,0.3536851704120636,0.0665740966796875,0.9651641845703125,0.938812255859375
2017-01-08-06,0.7367600798606873,0.7963219285011292,0.9713402390480042,0.8903618454933167
2017-01-08-09,0.8393530249595642,0.927531898021698,0.9960896372795105,0.9929463267326355
2017-01-08-12,0.11499746888875961,0.09996841847896576,0.32674452662467957,0.1546177715063095
2017-01-08-15,0.0026139153633266687,0.0,0.010009765625,0.0060498714447021484
2017-01-08-18,0.0010589493904262781,0.0,0.00953054428100586,0.0
2017-01-08-21,0.017679214477539062,0.0,0.07810020446777344,0.020647048950195312
2017-01-09-00,0.5562455654144287,0.64593505859375,0.989990234375,0.96295166015625
2017-01-09-03,0.7347837686538696,0.7529451251029968,0.9519655108451843,0.9174501299858093
2017-01-09-06,0.09796905517578125,0.03514862060546875,0.37360382080078125,0.138427734375
2017-01-09-09,0.2053561806678772,0.00762939453125,0.658935546875,0.3568267822265625
2017-01-09-12,0.0827043354511261,0.01390838623046875,0.39159393310546875,0.10950469970703125
2017-01-09-15,0.5039513111114502,0.6870737671852112,0.8290262818336487,0.7098856568336487
2017-01-09-18,0.21295568346977234,0.17272673547267914,0.7217990159988403,0.25529202818870544
2017-01-09-21,0.0559811070561409,0.0083770751953125,0.34300994873046875,0.04174041748046875
2017-01-10-00,0.07445356249809265,0.02826690673828125,0.4858856201171875,0.0347747802734375
2017-01-10-03,0.09347958117723465,0.01567840576171875,0.4969940185546875,0.1116943359375
2017-01-10-06,0.1030392125248909,0.05584716796875,0.35718536376953125,0.13678741455078125
2017-01-10-09,0.0993194580078125,0.027923583984375,0.352569580078125,0.1680450439453125
2017-01-10-12,0.14356805384159088,0.059721849858760834,0.41071978211402893,0.26664629578590393
2017-01-10-15,0.2032097727060318,0.053192138671875,0.650360107421875,0.453460693359375
2017-01-10-18,0.1374172568321228,0.06084442138671875,0.43773651123046875,0.12793731689453125
2017-01-10-21,0.0617404505610466,0.02684783935546875,0.25704193115234375,0.094024658203125
2017-01-11-00,0.1481204479932785,0.053892336785793304,0.6979352831840515,0.1657087504863739
2017-01-11-03,0.2042141556739807,0.08460897207260132,0.7382954955101013,0.20219320058822632
2017-01-11-06,0.2092963308095932,0.1051483154296875,0.7771759033203125,0.26177978515625
2017-01-11-09,0.3541230857372284,0.1755749136209488,0.8530193567276001,0.6615215539932251
2017-01-11-12,0.5553843379020691,0.804351806640625,0.982452392578125,0.8738250732421875
2017-01-11-15,0.6222376227378845,0.9204282760620117,0.9566679000854492,0.9307584762573242
2017-01-11-18,0.932622492313385,0.9768547415733337,0.9999985098838806,0.99209064245224
2017-01-11-21,0.677312970161438,0.7598273754119873,0.9883582592010498,0.9219520092010498
2017-01-12-00,0.642082929611206,0.8310341835021973,0.9861092567443848,0.8614144325256348
2017-01-12-03,0.8116999864578247,0.8946840167045593,1.000000238418579,0.9561082720756531
2017-01-12-06,0.8482487201690674,0.8620875477790833,0.9999964833259583,0.9873774647712708
2017-01-12-09,0.8571563959121704,0.8269575238227844,0.9999998211860657,0.9955289959907532
2017-01-12-12,0.89106285572052,0.9609091281890869,1.000002145767212,1.000002145767212
2017-01-12-15,0.894974410533905,0.9168698787689209,0.9999997615814209,0.9999997615814209
2017-01-12-18,0.9310063123703003,0.9848401546478271,0.9999997615814209,0.9999997615814209
2017-01-12-21,0.8513502478599548,0.946507453918457,1.000004768371582,0.977665901184082
2017-01-13-00,0.7997521758079529,0.8726162910461426,0.9999966621398926,0.9712491035461426
2017-01-13-03,0.8296639919281006,0.9176580309867859,0.9999944567680359,0.9757787585258484
2017-01-13-06,0.8378294706344604,0.8645001649856567,0.9932843446731567,0.9744397401809692
2017-01-13-09,0.8079010248184204,0.901077926158905,1.0000007152557373,0.9974676966667175
2017-01-13-12,0.4584214389324188,0.28639212250709534,0.9940947890281677,0.9886931777000427
