time,temp_mean,temp_median,temp_max,temp_p75
2017-01-01-00,-3.531205892562866,-4.251800537109375,0.720123291015625,-0.679290771484375
2017-01-01-03,-7.014658451080322,-8.753509521484375,-2.375701904296875,-3.311614990234375
2017-01-01-06,-5.558197021484375,-6.369232177734375,-1.215911865234375,-2.566253662109375
2017-01-01-09,-3.0992939472198486,-3.675262451171875,1.106109619140625,-2.099945068359375
2017-01-01-12,-4.925357341766357,-5.302825927734375,-0.705169677734375,-2.466888427734375
2017-01-01-15,-5.198306560516357,-5.523040771484375,0.315582275390625,-2.932220458984375
2017-01-01-18,-6.077809810638428,-6.373138427734375,-0.386322021484375,-4.197601318359375
2017-01-01-21,-6.417843341827393,-6.490325927734375,-0.867767333984375,-4.560394287109375
2017-01-02-00,-7.245697021484375,-6.395599365234375,-2.793792724609375,-4.447357177734375
2017-01-02-03,-9.045719146728516,-8.493255615234375,-3.711761474609375,-7.440765380859375
2017-01-02-06,-8.339229583740234,-7.733489990234375,-2.847747802734375,-6.625823974609375
2017-01-02-09,-8.34083080291748,-7.521087646484375,-3.080657958984375,-7.077972412109375
2017-01-02-12,-8.66971492767334,-9.697845458984375,-1.748626708984375,-6.179534912109375
2017-01-02-15,-9.65872859954834,-10.785736083984375,-2.796722412109375,-6.236419677734375
2017-01-02-18,-10.569454193115234,-12.554779052734375,-3.223724365234375,-7.636077880859375
2017-01-02-21,-9.764142990112305,-10.695648193359375,-2.402679443359375,-7.055267333984375
2017-01-03-00,-8.632795333862305,-9.365081787109375,-1.971282958984375,-6.841400146484375
2017-01-03-03,-9.170257568359375,-11.242523193359375,-1.680999755859375,-7.576019287109375
2017-01-03-06,-10.941877365112305,-11.742279052734375,-3.589935302734375,-8.612640380859375
2017-01-03-09,-12.536952018737793,-13.237579345703125,-5.357696533203125,-9.237579345703125
2017-01-03-12,-11.34172534942627,-13.349945068359375,-2.460784912109375,-9.218353271484375
2017-01-03-15,-8.23243236541748,-8.619476318359375,-0.093109130859375,-2.748382568359375
2017-01-03-18,-8.79826831817627,-11.057708740234375,-0.957122802734375,-3.458831787109375
2017-01-03-21,-7.824174880981445,-9.030364990234375,-1.509124755859375,-4.441253662109375
2017-01-04-00,-7.936696529388428,-8.748138427734375,-2.721527099609375,-5.147064208984375
2017-01-04-03,-6.792436599731445,-7.359710693359375,-2.848236083984375,-4.232025146484375
2017-01-04-06,-6.53908634185791,-6.915496826171875,-3.008636474609375,-4.022064208984375
2017-01-04-09,-6.382876873016357,-6.343719482421875,-3.454803466796875,-4.823089599609375
2017-01-04-12,-6.17409610748291,-6.117523193359375,-3.083587646484375,-4.923431396484375
2017-01-04-15,-6.656599044799805,-6.904754638671875,-4.324676513671875,-5.284637451171875
2017-01-04-18,-7.43068790435791,-8.064605712890625,-5.599578857421875,-5.971954345703125
2017-01-04-21,-7.80202579498291,-7.857025146484375,-4.854339599609375,-6.211761474609375
2017-01-05-00,-8.180660247802734,-8.526336669921875,-5.335906982421875,-5.855682373046875
2017-01-05-03,-8.53691577911377,-9.261077880859375,-5.089447021484375,-5.942840576171875
2017-01-05-06,-9.61772632598877,-9.423065185546875,-7.059295654296875,-7.511810302734375
2017-01-05-09,-10.119977951049805,-9.282806396484375,-8.142059326171875,-9.124725341796875
2017-01-05-12,-9.110225677490234,-8.777557373046875,-7.060272216796875,-7.691009521484375
2017-01-05-15,-6.739267826080322,-6.377960205078125,-5.301727294921875,-5.734649658203125
2017-01-05-18,-8.130937576293945,-8.252532958984375,-5.853179931640625,-7.662872314453125
2017-01-05-21,-10.932586669921875,-10.945281982421875,-8.527679443359375,-10.587493896484375
2017-01-06-00,-13.289981842041016,-13.513031005859375,-11.508453369140625,-12.710235595703125
2017-01-06-03,-15.39177417755127,-15.640533447265625,-13.808197021484375,-14.583343505859375
2017-01-06-06,-17.71833610534668,-17.662857055664062,-14.430572509765625,-17.144439697265625
