time,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1
2015-01-01-00,0.030088678411667968,0.0037439167499542236,0.09911321103572845,0.07280707359313965,0.0
2015-01-01-03,0.017272941307903595,0.0003632158041000366,0.06271339952945709,0.03627501428127289,0.0
2015-01-01-06,0.11955556038183653,0.12698975205421448,0.2501068413257599,0.20134654641151428,0.5555555555555556
2015-01-01-09,0.13083847956776307,0.057622410356998444,0.4021148979663849,0.25860926508903503,0.3333333333333333
2015-01-01-12,0.09754945938487923,0.02171844244003296,0.3209039568901062,0.15016645193099976,0.3333333333333333
2015-01-01-15,0.04149108070112511,0.00609409948810935,0.17734196782112122,0.026840241625905037,0.2222222222222222
2015-01-01-18,0.03747001678413885,0.002212822437286377,0.1359991729259491,0.05830451846122742,0.2222222222222222
2015-01-02-00,8.710506350325006e-05,0.0,0.00042378815123811364,0.0,0.0
2015-01-02-03,0.0,0.0,0.0,0.0,0.0
2015-01-02-06,0.008345603407506563,0.0003096647560596466,0.02735387533903122,0.018154270946979523,0.0
2015-01-02-09,0.0044512965065634305,0.0,0.020265579223632812,0.007008668035268784,0.0
2015-01-02-12,0.0005626396559506542,0.0,0.0041727907955646515,0.0002784654498100281,0.0
2015-01-02-15,8.338061741355024e-05,0.0,0.000476837158203125,0.0,0.0
2015-01-02-18,1.675455494878819e-05,0.0,0.00014532633940689266,0.0,0.0
2015-01-02-21,0.03299961500771591,0.014278720133006573,0.09702672809362411,0.056527238339185715,0.0
2015-01-03-00,0.0,0.0,0.0,0.0,0.0
2015-01-03-03,0.0,0.0,0.0,0.0,0.0
2015-01-03-06,0.0,0.0,0.0,0.0,0.0
2015-01-03-09,0.0,0.0,0.0,0.0,0.0
2015-01-03-12,0.0,0.0,0.0,0.0,0.0
2015-01-03-15,0.0,0.0,0.0,0.0,0.0
2015-01-03-18,0.0,0.0,0.0,0.0,0.0
2015-01-03-21,4.885818975102851e-05,0.0,0.00042378815123811364,0.0,0.0
2015-01-04-00,0.0,0.0,0.0,0.0,0.0
2015-01-04-03,0.0,0.0,0.0,0.0,0.0
2015-01-04-06,0.0,0.0,0.0,0.0,0.0
2015-01-04-09,0.0,0.0,0.0,0.0,0.0
2015-01-04-12,0.0,0.0,0.0,0.0,0.0
2015-01-04-15,0.0,0.0,0.0,0.0,0.0
2015-01-04-18,0.0,0.0,0.0,0.0,0.0
2015-01-04-21,0.0,0.0,0.0,0.0,0.0
2015-01-05-00,0.0,0.0,0.0,0.0,0.0
2015-01-05-03,0.0,0.0,0.0,0.0,0.0
2015-01-05-06,0.0,0.0,0.0,0.0,0.0
2015-01-05-09,0.0,0.0,0.0,0.0,0.0
2015-01-05-12,0.0,0.0,0.0,0.0,0.0
2015-01-05-15,0.0,0.0,0.0,0.0,0.0
2015-01-05-18,0.0,0.0,0.0,0.0,0.0
2015-01-05-21,0.0,0.0,0.0,0.0,0.0
2015-01-06-00,3.60186851229807e-05,0.0,0.00033686956157907844,0.0,0.0
2015-01-06-03,0.00011879421193285282,0.0,0.0007238995749503374,0.0,0.0
2015-01-06-06,0.0,0.0,0.0,0.0,0.0
2015-01-06-09,0.0,0.0,0.0,0.0,0.0
2015-01-06-12,0.0,0.0,0.0,0.0,0.0
2015-01-06-15,0.0,0.0,0.0,0.0,0.0
2015-01-06-18,0.0,0.0,0.0,0.0,0.0
2015-01-06-21,0.0,0.0,0.0,0.0,0.0
2015-01-07-00,0.0006347080610634251,0.0,0.0029786606319248676,0.0007381895557045937,0.0
2015-01-07-03,0.0004911405492956689,0.0,0.0026417546905577183,0.0004921457730233669,0.0
2015-01-07-06,0.0004062248595714073,0.0,0.0029959483072161674,0.0,0.0
2015-01-07-09,0.0004062248595714073,0.0,0.0029959483072161674,0.0,0.0
2015-01-07-12,0.0006811739463962701,0.0,0.0032765092328190804,0.0004921457730233669,0.0
2015-01-07-15,0.0005348306798925844,0.0,0.002502230927348137,0.0006717746146023273,0.0
2015-01-07-18,0.00065753646548358,0.0,0.0027817441150546074,0.0006717746146023273,0.0
2015-01-07-21,0.0,0.0,0.0,0.0,0.0
2015-01-08-00,3.32801067934124e-05,0.0,0.00028866634238511324,0.0,0.0
2015-01-08-03,0.000308189525530567,0.0,0.0026731868274509907,0.0,0.0
2015-01-08-06,0.00016709296670455704,0.0,0.001161097316071391,0.0,0.0
2015-01-08-09,0.00022230310182211238,0.0,0.0015877594705671072,0.0,0.0
2015-01-08-12,3.60186851229807e-05,0.0,0.00033686956157907844,0.0,0.0
2015-01-08-15,0.0,0.0,0.0,0.0,0.0
2015-01-08-18,0.0,0.0,0.0,0.0,0.0
2015-01-08-21,0.0006383302342838533,0.0,0.0027817441150546074,0.0004921457730233669,0.0
2015-01-09-00,0.037906569667844024,0.022891908884048462,0.1564808189868927,0.05805864930152893,0.1111111111111111
2015-01-09-03,0.031865153022862275,0.0027194619178771973,0.1928098499774933,0.013984739780426025,0.1111111111111111
2015-01-09-06,0.0,0.0,0.0,0.0,0.0
2015-01-09-09,1.1210037484510383e-05,0.0,9.723407856654376e-05,0.0,0.0
2015-01-09-12,0.002092185781069435,0.0,0.011779367923736572,0.0,0.0
2015-01-09-15,0.002000087946591885,0.0,0.012113247066736221,0.0,0.0
2015-01-09-18,0.04523520398700448,0.032950591295957565,0.16370081901550293,0.04761333391070366,0.1111111111111111
2015-01-09-21,0.0,0.0,0.0,0.0,0.0
2015-01-10-00,0.0030062620253705928,0.0021489253267645836,0.012104763649404049,0.00257290992885828,0.0
2015-01-10-03,0.0036528738244527015,0.003484137821942568,0.0078119938261806965,0.004530478734523058,0.0
2015-01-10-06,0.039133323827486695,0.035742297768592834,0.08706748485565186,0.07261335849761963,0.0
2015-01-10-09,0.020534704463796835,0.013105128891766071,0.04426625370979309,0.03815491497516632,0.0
2015-01-10-12,0.011208542421834581,0.010904856026172638,0.03936979919672012,0.013661570847034454,0.0
2015-01-10-15,0.011994022564534062,0.0018505379557609558,0.051558949053287506,0.013480894267559052,0.0
2015-01-10-18,0.0036169615774712806,0.0011958859395235777,0.01908053830265999,0.003376112086698413,0.0
2015-01-10-21,0.037578876622611466,0.03526906296610832,0.08100444823503494,0.061843421310186386,0.0
2015-01-11-00,0.007365981183077339,0.0057176342234015465,0.01903228834271431,0.007658510934561491,0.0
2015-01-11-03,0.007297179972821121,0.004256667103618383,0.03236212208867073,0.00569090386852622,0.0
2015-01-11-06,0.011008002096395554,0.006288290023803711,0.05345046520233154,0.00746455043554306,0.0
