time,humidity_mean,humidity_median,humidity_max,humidity_p75
2015-01-01-00,89.95889282226562,90.15863037109375,93.25274658203125,91.99468994140625
2015-01-01-03,93.20428466796875,93.11262512207031,95.69038391113281,93.58857727050781
2015-01-01-06,94.11849212646484,93.8359375,97.7008056640625,95.2293701171875
2015-01-01-09,95.36054229736328,96.01077270507812,100.06546020507812,97.30300903320312
2015-01-01-12,94.84428405761719,96.95149230957031,98.34773254394531,98.00007629394531
2015-01-01-15,93.978759765625,94.98043823242188,98.78463745117188,96.36447143554688
2015-01-01-18,92.74506378173828,93.09548950195312,97.06350708007812,93.52847290039062
2015-01-01-21,90.245361328125,90.75148010253906,94.01368713378906,91.91346740722656
2015-01-02-00,84.9561767578125,87.41390991210938,91.38754272460938,90.15756225585938
2015-01-02-03,85.36124420166016,88.08499145507812,95.19387817382812,92.27151489257812
2015-01-02-06,84.58404541015625,89.14361572265625,94.05133056640625,91.97857666015625
2015-01-02-09,81.35800170898438,85.16545104980469,91.64250183105469,88.54777526855469
2015-01-02-12,78.0639419555664,78.23809814453125,89.07501220703125,84.48565673828125
2015-01-02-15,75.59030151367188,75.18084716796875,87.05584716796875,79.71990966796875
2015-01-02-18,71.37747192382812,70.84974670410156,81.41737365722656,71.60267639160156
2015-01-02-21,67.15530395507812,67.74089050292969,73.36979675292969,68.07292175292969
2015-01-03-00,61.94013977050781,63.75138854980469,68.00187683105469,64.67424011230469
2015-01-03-03,58.93891906738281,59.23590087890625,70.24566650390625,63.89215087890625
2015-01-03-06,55.1966438293457,55.378448486328125,70.56790161132812,60.066925048828125
2015-01-03-09,53.51570510864258,53.85435485839844,70.21275329589844,57.62583923339844
2015-01-03-12,50.29801940917969,50.94059753417969,68.08805847167969,54.70915222167969
2015-01-03-15,51.08603286743164,49.70826721191406,67.53346252441406,56.33766174316406
2015-01-03-18,51.55882263183594,51.889984130859375,66.17855834960938,58.201019287109375
2015-01-03-21,51.298973083496094,54.112884521484375,64.25057983398438,58.604095458984375
2015-01-04-00,53.15428924560547,54.99603271484375,66.56829833984375,61.69183349609375
2015-01-04-03,52.51576232910156,54.877685546875,62.406005859375,59.239501953125
2015-01-04-06,52.808349609375,55.73130798339844,59.13999938964844,58.65367126464844
2015-01-04-09,52.174652099609375,54.030364990234375,56.627044677734375,54.796722412109375
2015-01-04-12,54.95890808105469,55.33662414550781,59.01435852050781,56.49385070800781
2015-01-04-15,55.83858108520508,56.4290771484375,59.9144287109375,57.7698974609375
2015-01-04-18,57.76138687133789,58.31767272949219,62.48100280761719,59.16337585449219
2015-01-04-21,58.75895309448242,59.629913330078125,62.527374267578125,60.276641845703125
2015-01-05-00,65.89523315429688,66.32914733886719,69.59049987792969,67.07109069824219
2015-01-05-03,66.88076782226562,66.47242736816406,69.26319885253906,68.62147521972656
2015-01-05-06,67.79122924804688,67.62059020996094,70.84458923339844,70.27720642089844
2015-01-05-09,68.18730163574219,68.11189270019531,71.82795715332031,70.11225891113281
2015-01-05-12,75.29329681396484,75.65635681152344,80.22984313964844,78.06553649902344
2015-01-05-15,74.69625854492188,75.95588684082031,81.29792785644531,78.86848449707031
2015-01-05-18,73.145751953125,74.87464904785156,80.59632873535156,77.57337951660156
2015-01-05-21,71.18467712402344,73.11328125,77.56591796875,75.285400390625
2015-01-06-00,75.60415649414062,79.1829833984375,84.0750732421875,80.0057373046875
2015-01-06-03,71.86219024658203,76.08001708984375,79.14984130859375,77.54779052734375
2015-01-06-06,64.45376586914062,67.94361877441406,71.06715393066406,69.40406799316406
2015-01-06-09,59.00238800048828,61.143341064453125,65.38162231445312,63.077423095703125
2015-01-06-12,60.66622543334961,63.66508483886719,70.31205749511719,65.27153015136719
2015-01-06-15,58.07440948486328,60.100616455078125,66.71682739257812,62.142120361328125
2015-01-06-18,57.85427474975586,57.829803466796875,65.76974487304688,64.87619018554688
2015-01-06-21,59.50168991088867,59.13531494140625,68.27008056640625,66.40679931640625
2015-01-07-00,66.85070037841797,66.40983581542969,76.61637878417969,74.27409362792969
2015-01-07-03,66.24661254882812,67.66865539550781,75.18476867675781,70.87959289550781
2015-01-07-06,66.26695251464844,67.74069213867188,76.93307495117188,73.39010620117188
2015-01-07-09,67.07879638671875,68.17547607421875,82.06903076171875,76.92889404296875
2015-01-07-12,71.2613754272461,70.71525573730469,88.42912292480469,85.74357604980469
