time,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1
2015-01-01-07,0.08644012054211848,0.054018471390008926,0.21891099214553833,0.1258457899093628,0.4444444444444444
2015-01-01-08,0.09079648489518263,0.11581171303987503,0.14979009330272675,0.14876936376094818,0.5555555555555556
2015-01-01-09,0.11955556038183653,0.12698975205421448,0.2501068413257599,0.20134654641151428,0.5555555555555556
2015-01-01-10,0.12203337793224572,0.1095309853553772,0.2667829394340515,0.2083703875541687,0.5555555555555556
2015-01-01-11,0.12472345265925207,0.08582568168640137,0.3289679288864136,0.24116283655166626,0.3333333333333333
2015-01-01-12,0.13083847956776307,0.057622410356998444,0.4021148979663849,0.25860926508903503,0.3333333333333333
2015-01-01-13,0.12128407562533143,0.031199626624584198,0.4175494909286499,0.24670766294002533,0.3333333333333333
2015-01-01-14,0.10001912468315621,0.025532037019729614,0.3700021803379059,0.19201526045799255,0.3333333333333333
2015-01-01-15,0.09754945938487923,0.02171844244003296,0.3209039568901062,0.15016645193099976,0.3333333333333333
2015-01-01-16,0.08438453165398556,0.014506280422210693,0.2810060977935791,0.12893974781036377,0.3333333333333333
2015-01-01-17,0.06295663934046838,0.00834664050489664,0.256130576133728,0.06085088104009628,0.2222222222222222
2015-01-01-18,0.04149108070112511,0.00609409948810935,0.17734196782112122,0.026840241625905037,0.2222222222222222
2015-01-01-19,0.02823005541131688,0.003937631845474243,0.1310408115386963,0.019259750843048096,0.1111111111111111
2015-01-01-20,0.029800514663600536,0.0023909788578748703,0.11853063106536865,0.031984683126211166,0.1111111111111111
2015-01-01-21,0.03747001678413885,0.002212822437286377,0.1359991729259491,0.05830451846122742,0.2222222222222222
2015-01-01-22,0.030128725394874427,0.0018514692783355713,0.10404922068119049,0.04220940172672272,0.2222222222222222
2015-01-01-23,0.027107095252592004,0.006590038537979126,0.08863769471645355,0.03646872937679291,0.0
2015-01-02-00,0.03299961500771591,0.014278720133006573,0.09702672809362411,0.056527238339185715,0.0
2015-01-02-01,0.03747998262470191,0.015946105122566223,0.11420436203479767,0.07768534123897552,0.1111111111111111
2015-01-02-02,0.033370964114050355,0.00891275703907013,0.1062583178281784,0.07588975131511688,0.1111111111111111
2015-01-02-03,0.030088678411667968,0.0037439167499542236,0.09911321103572845,0.07280707359313965,0.0
2015-01-02-04,0.026447120106737762,0.0012852251529693604,0.0890493392944336,0.06503984332084656,0.0
2015-01-02-05,0.021249525668905873,0.0005383044481277466,0.07611513137817383,0.04895403981208801,0.0
2015-01-02-06,0.017272941307903595,0.0003632158041000366,0.06271339952945709,0.03627501428127289,0.0
2015-01-02-07,0.01393687527387852,0.0004302710294723511,0.04457496106624603,0.03352668136358261,0.0
2015-01-02-08,0.011618992302622016,0.00030919909477233887,0.03623124212026596,0.027621164917945862,0.0
2015-01-02-09,0.008345603407506563,0.0003096647560596466,0.02735387533903122,0.018154270946979523,0.0
2015-01-02-10,0.005953134454835472,0.00012060627341270447,0.021457672119140625,0.013467390090227127,0.0
2015-01-02-11,0.005477982013149658,0.0,0.021299347281455994,0.011070165783166885,0.0
2015-01-02-12,0.0044512965065634305,0.0,0.020265579223632812,0.007008668035268784,0.0
2015-01-02-13,0.0025202487849789353,0.0,0.01467880792915821,0.0024070031940937042,0.0
2015-01-02-14,0.0013201580343096214,0.0,0.008655013516545296,0.0010458752512931824,0.0
