time,temp_mean,temp_median,temp_max,temp_p75
2018-01-01-00,-17.78907012939453,-17.55670166015625,-9.49176025390625,-10.57379150390625
2018-01-01-01,-17.75592613220215,-17.602828979492188,-9.576934814453125,-10.677032470703125
2018-01-01-02,-17.273971557617188,-17.629013061523438,-8.990814208984375,-10.244720458984375
2018-01-01-03,-17.043106079101562,-17.320388793945312,-9.025482177734375,-10.268646240234375
2018-01-01-04,-16.799949645996094,-17.452239990234375,-9.041107177734375,-10.242279052734375
2018-01-01-05,-16.983314514160156,-17.605194091796875,-10.041229248046875,-11.003387451171875
2018-01-01-06,-17.078826904296875,-18.055145263671875,-10.389373779296875,-11.328826904296875
2018-01-01-07,-17.231046676635742,-18.203262329101562,-11.044342041015625,-11.846343994140625
2018-01-01-08,-16.97711181640625,-17.66949462890625,-11.19732666015625,-12.44219970703125
2018-01-01-09,-14.52462387084961,-14.76849365234375,-8.72406005859375,-10.64300537109375
2018-01-01-10,-16.809118270874023,-18.017471313476562,-11.667877197265625,-12.161285400390625
2018-01-01-11,-17.131662368774414,-18.425445556640625,-11.934478759765625,-12.563629150390625
2018-01-01-12,-17.042129516601562,-18.184890747070312,-11.881683349609375,-12.607757568359375
2018-01-01-13,-17.126977920532227,-18.232589721679688,-11.844635009765625,-13.372467041015625
2018-01-01-14,-16.97545623779297,-17.989730834960938,-11.720428466796875,-13.189666748046875
2018-01-01-15,-16.289682388305664,-17.101715087890625,-11.193267822265625,-12.725250244140625
2018-01-01-16,-16.55579376220703,-17.51043701171875,-11.42303466796875,-13.32757568359375
2018-01-01-17,-17.41261863708496,-18.25823974609375,-12.26336669921875,-13.94281005859375
2018-01-01-18,-17.305343627929688,-18.250228881835938,-12.285125732421875,-13.812469482421875
2018-01-01-19,-17.794992446899414,-19.165435791015625,-12.328033447265625,-13.756744384765625
2018-01-01-20,-17.461511611938477,-18.807113647460938,-12.085662841796875,-13.435028076171875
2018-01-01-21,-15.139201164245605,-16.8499755859375,-9.9334716796875,-11.3453369140625
2018-01-01-22,-18.09193992614746,-19.51177978515625,-11.95660400390625,-14.68804931640625
2018-01-01-23,-17.375032424926758,-18.748031616210938,-11.431365966796875,-13.601043701171875
2018-01-02-00,-16.836578369140625,-17.900543212890625,-11.320953369140625,-12.917877197265625
2018-01-02-01,-15.525595664978027,-16.550140380859375,-10.235198974609375,-11.176361083984375
2018-01-02-02,-15.45687484741211,-16.21929931640625,-9.96392822265625,-10.99957275390625
2018-01-02-03,-15.091798782348633,-15.663299560546875,-9.210174560546875,-10.760955810546875
2018-01-02-04,-15.599038124084473,-15.997100830078125,-9.286407470703125,-11.183624267578125
2018-01-02-05,-15.285280227661133,-15.414154052734375,-9.086273193359375,-10.794525146484375
2018-01-02-06,-15.07518196105957,-14.6776123046875,-9.3653564453125,-10.5789794921875
