time,humidity_mean,humidity_median,humidity_max,humidity_p75
2018-01-01-00,77.24627685546875,77.68925476074219,90.93095397949219,89.68437194824219
2018-01-01-01,76.25035858154297,77.04512023925781,88.10224914550781,86.63056945800781
2018-01-01-02,75.89301300048828,77.34608459472656,85.95350646972656,84.47450256347656
2018-01-01-03,75.57675170898438,77.40037536621094,84.34910583496094,83.30320739746094
2018-01-01-04,75.11736297607422,76.82260131835938,82.74008178710938,81.47494506835938
2018-01-01-05,74.63663482666016,76.06898498535156,81.55189514160156,80.14320373535156
2018-01-01-06,74.44090270996094,75.55787658691406,80.83473205566406,79.25807189941406
2018-01-01-07,75.443603515625,76.71408081054688,81.23019409179688,79.47091674804688
2018-01-01-08,76.22135162353516,77.57669067382812,81.13723754882812,79.53347778320312
2018-01-01-09,76.94278717041016,78.54432678222656,80.96913146972656,79.49403381347656
2018-01-01-10,86.95065307617188,87.87277221679688,89.49288940429688,88.81417846679688
2018-01-01-11,83.11556243896484,84.71212768554688,86.25558471679688,85.03976440429688
2018-01-01-12,81.4277114868164,82.87261962890625,84.53375244140625,83.53375244140625
2018-01-01-13,82.05204010009766,83.57786560058594,84.87449645996094,84.12376403808594
2018-01-01-14,82.432373046875,84.05381774902344,85.75718688964844,84.11705017089844
2018-01-01-15,82.10836791992188,83.72206115722656,85.60926818847656,84.13856506347656
2018-01-01-16,82.65388488769531,83.74212646484375,86.42572021484375,85.32928466796875
2018-01-01-17,83.07633209228516,83.60427856445312,87.15164184570312,86.05715942382812
2018-01-01-18,83.50346374511719,84.39617919921875,87.02142333984375,85.92327880859375
2018-01-01-19,84.34501647949219,85.24909973144531,87.58967590332031,86.64851379394531
2018-01-01-20,84.82576751708984,85.88902282714844,87.09971618652344,86.57212829589844
2018-01-01-21,84.50514221191406,85.89859008789062,86.79190063476562,86.58560180664062
2018-01-01-22,92.86895751953125,93.92192077636719,95.98368835449219,94.87907409667969
2018-01-01-23,91.13319396972656,92.18209838867188,96.01071166992188,93.11715698242188
2018-01-02-00,90.56547546386719,91.44866943359375,96.25238037109375,93.04046630859375
2018-01-02-01,89.6656494140625,91.14134216308594,96.62474060058594,92.99754333496094
2018-01-02-02,87.70375061035156,89.56556701660156,96.90296936035156,93.57337951660156
2018-01-02-03,85.41329956054688,86.95291137695312,95.64627075195312,93.22830200195312
2018-01-02-04,83.51997375488281,84.45182800292969,94.91667175292969,92.94401550292969
2018-01-02-05,81.80072784423828,82.35574340820312,94.13308715820312,91.90896606445312
2018-01-02-06,79.57260131835938,79.81690979003906,92.21632385253906,89.42970275878906
2018-01-02-07,77.68328094482422,77.45840454101562,89.95352172851562,86.92568969726562
2018-01-02-08,76.4436264038086,75.86723327636719,88.04789733886719,84.70854187011719
2018-01-02-09,75.88349151611328,76.20309448242188,86.67135620117188,83.05563354492188
2018-01-02-10,76.70867156982422,78.69114685058594,85.75218200683594,83.10911560058594
2018-01-02-11,77.68331146240234,79.90097045898438,85.96932983398438,83.25399780273438
2018-01-02-12,77.38059997558594,79.66397094726562,86.43740844726562,83.71377563476562
2018-01-02-13,77.95175170898438,80.96064758300781,87.09443664550781,85.27021789550781
