time,humidity_mean,humidity_median,humidity_max,humidity_p75
2013-01-01-00,82.697265625,81.17727661132812,89.45950317382812,86.19778442382812
2013-01-01-01,84.31678771972656,82.72743225097656,91.17127990722656,88.52088928222656
2013-01-01-02,85.13018798828125,82.42890930175781,93.34370422363281,90.76557922363281
2013-01-01-03,86.48328399658203,83.11126708984375,95.68524169921875,92.70892333984375
2013-01-01-04,87.8816146850586,84.08500671386719,98.10185241699219,93.53593444824219
2013-01-01-05,88.50959014892578,84.89077758789062,99.59829711914062,94.47866821289062
2013-01-01-06,88.2022476196289,85.21733093261719,99.95463562011719,94.38139343261719
2013-01-01-07,87.89546203613281,85.66862487792969,100.14762878417969,94.37370300292969
2013-01-01-08,87.6321792602539,86.29646301269531,99.94587707519531,95.33259582519531
2013-01-01-09,86.60926818847656,86.78585815429688,99.03244018554688,95.92550659179688
2013-01-01-10,79.82089233398438,77.76924133300781,99.97724914550781,92.93525695800781
2013-01-01-11,79.31929779052734,78.33969116210938,98.85238647460938,92.77523803710938
2013-01-01-12,78.46766662597656,77.55294799804688,97.09689331054688,93.33126831054688
2013-01-01-13,77.68888854980469,77.31486511230469,95.80705261230469,94.50138854980469
2013-01-01-14,76.72211456298828,76.748046875,95.27734375,94.3603515625
2013-01-01-15,75.30928802490234,74.78433227539062,95.19351196289062,93.79409790039062
2013-01-01-16,74.23066711425781,72.59687805175781,94.01875305175781,91.82734680175781
2013-01-01-17,73.20856475830078,71.56143188476562,93.04873657226562,90.85342407226562
2013-01-01-18,71.71245574951172,69.37413024902344,92.32041931152344,90.32823181152344
2013-01-01-19,70.375244140625,66.62893676757812,91.64553833007812,89.08499145507812
2013-01-01-20,69.47722625732422,64.86416625976562,90.29092407226562,87.28115844726562
2013-01-01-21,69.20037078857422,64.2808837890625,89.5660400390625,86.5045166015625
2013-01-01-22,66.45850372314453,61.75212097167969,84.36540222167969,82.31559753417969
2013-01-01-23,68.51934814453125,64.22735595703125,85.97247314453125,82.99737548828125
2013-01-02-00,70.76155853271484,67.26622009277344,86.23936462402344,83.73887634277344
2013-01-02-01,72.84212493896484,70.21994018554688,86.46163940429688,84.57247924804688
2013-01-02-02,74.65040588378906,72.82943725585938,86.70639038085938,84.47299194335938
2013-01-02-03,75.68209838867188,75.24069213867188,85.91891479492188,83.46188354492188
2013-01-02-04,76.71546936035156,78.05032348632812,85.19046020507812,83.10745239257812
2013-01-02-05,77.20027923583984,78.14450073242188,84.78659057617188,82.82369995117188
2013-01-02-06,78.10173797607422,77.78408813476562,84.29360961914062,82.50088500976562
2013-01-02-07,79.51976776123047,79.26716613769531,84.08039855957031,82.84284973144531
2013-01-02-08,81.08466339111328,81.390380859375,84.31982421875,83.6085205078125
