time,temp_mean,temp_median,temp_max,temp_p75
2013-01-01-00,-8.13759708404541,-6.364105224609375,-0.657806396484375,-3.721282958984375
2013-01-01-01,-9.952019691467285,-8.109161376953125,-2.370880126953125,-6.060333251953125
2013-01-01-02,-10.923917770385742,-9.381622314453125,-3.313507080078125,-6.073272705078125
2013-01-01-03,-11.715085983276367,-9.578155517578125,-5.090118408203125,-6.942413330078125
2013-01-01-04,-12.17839241027832,-10.11944580078125,-5.05645751953125,-7.10601806640625
2013-01-01-05,-12.734050750732422,-11.297821044921875,-5.249481201171875,-7.762664794921875
2013-01-01-06,-13.502799034118652,-12.526947021484375,-5.939056396484375,-8.416351318359375
2013-01-01-07,-12.359025955200195,-10.932403564453125,-5.334503173828125,-7.702911376953125
2013-01-01-08,-12.067607879638672,-10.670684814453125,-4.974395751953125,-7.189727783203125
2013-01-01-09,-12.086480140686035,-10.92529296875,-6.35693359375,-7.59521484375
2013-01-01-10,-11.285439491271973,-10.039947509765625,-5.200836181640625,-6.725006103515625
2013-01-01-11,-10.40737533569336,-9.0296630859375,-4.2823486328125,-5.3685302734375
2013-01-01-12,-9.59157943725586,-8.12646484375,-3.18408203125,-3.74853515625
2013-01-01-13,-9.228156089782715,-7.743072509765625,-2.803619384765625,-3.208404541015625
2013-01-01-14,-8.74305534362793,-6.74462890625,-2.3037109375,-2.8056640625
2013-01-01-15,-7.897891521453857,-5.373748779296875,-1.896209716796875,-2.296112060546875
2013-01-01-16,-7.599207401275635,-4.347686767578125,-1.532257080078125,-2.196319580078125
2013-01-01-17,-6.986012935638428,-3.850677490234375,-1.086517333984375,-1.637054443359375
2013-01-01-18,-7.312808513641357,-4.197357177734375,-1.400238037109375,-2.043548583984375
2013-01-01-19,-6.999630451202393,-3.600433349609375,-0.812347412109375,-2.455413818359375
2013-01-01-20,-6.833180904388428,-3.525238037109375,-0.686370849609375,-2.542816162109375
2013-01-01-21,-7.345170974731445,-3.955169677734375,-1.264984130859375,-3.479095458984375
2013-01-01-22,-7.130489826202393,-3.794281005859375,-1.131439208984375,-3.045501708984375
2013-01-01-23,-6.983327388763428,-3.590423583984375,-1.032073974609375,-3.076019287109375
2013-01-02-00,-7.292083740234375,-4.015716552734375,-1.535491943359375,-3.574554443359375
2013-01-02-01,-6.87967586517334,-3.752044677734375,-1.319915771484375,-3.430023193359375
2013-01-02-02,-6.885725021362305,-3.990081787109375,-1.546478271484375,-3.580413818359375
2013-01-02-03,-7.76772403717041,-5.037200927734375,-2.907562255859375,-4.311614990234375
2013-01-02-04,-8.18021297454834,-5.983489990234375,-4.074798583984375,-4.491790771484375
2013-01-02-05,-8.066036224365234,-6.384857177734375,-3.741790771484375,-4.464935302734375
2013-01-02-06,-8.336626052856445,-7.024017333984375,-4.033294677734375,-4.884368896484375
2013-01-02-07,-8.255950927734375,-7.432708740234375,-3.991058349609375,-4.986663818359375
2013-01-02-08,-8.459293365478516,-8.216400146484375,-4.273284912109375,-4.983245849609375
2013-01-02-09,-9.03630542755127,-9.345550537109375,-5.117034912109375,-5.690765380859375
2013-01-02-10,-7.746700763702393,-7.819671630859375,-3.767913818359375,-3.879730224609375
2013-01-02-11,-7.765011310577393,-8.308929443359375,-3.234710693359375,-3.687347412109375
2013-01-02-12,-7.036875247955322,-7.092620849609375,-2.085540771484375,-3.601409912109375
2013-01-02-13,-8.531585693359375,-8.961517333984375,-3.138275146484375,-5.954437255859375
2013-01-02-14,-9.045230865478516,-10.190521240234375,-3.253509521484375,-6.224700927734375
2013-01-02-15,-8.809038162231445,-9.775482177734375,-2.187103271484375,-5.724456787109375
2013-01-02-16,-8.44621753692627,-9.734466552734375,-1.498870849609375,-4.882904052734375
2013-01-02-17,-8.04786205291748,-9.267669677734375,-1.312103271484375,-5.024505615234375
2013-01-02-18,-8.512786865234375,-9.929290771484375,-1.899993896484375,-5.676361083984375
2013-01-02-19,-8.58033275604248,-10.131927490234375,-1.716400146484375,-6.052093505859375
2013-01-02-20,-8.67204761505127,-10.477874755859375,-1.759857177734375,-6.053314208984375
2013-01-02-21,-9.74330997467041,-11.763275146484375,-3.450531005859375,-7.880218505859375
2013-01-02-22,-9.63770580291748,-11.325531005859375,-2.286468505859375,-6.157318115234375
2013-01-02-23,-9.738264083862305,-11.237396240234375,-2.208831787109375,-5.709808349609375
2013-01-03-00,-10.476139068603516,-11.801849365234375,-2.624603271484375,-5.943695068359375
2013-01-03-01,-10.390177726745605,-11.4124755859375,-2.0179443359375,-5.0950927734375
2013-01-03-02,-11.377256393432617,-12.203704833984375,-2.485687255859375,-5.641937255859375
2013-01-03-03,-12.755542755126953,-13.226104736328125,-3.968048095703125,-7.175079345703125
2013-01-03-04,-11.912288665771484,-12.840484619140625,-3.179595947265625,-6.446929931640625
2013-01-03-05,-11.808170318603516,-12.803802490234375,-3.193695068359375,-6.476165771484375
2013-01-03-06,-12.163992881774902,-13.084625244140625,-3.585113525390625,-6.331695556640625
2013-01-03-07,-12.72144889831543,-13.6209716796875,-4.0706787109375,-6.5623779296875
2013-01-03-08,-14.561260223388672,-15.502716064453125,-6.755157470703125,-8.357208251953125
2013-01-03-09,-15.699591636657715,-16.67572021484375,-8.66448974609375,-9.76654052734375
2013-01-03-10,-12.877497673034668,-13.541717529296875,-5.276092529296875,-6.291229248046875
2013-01-03-11,-12.352903366088867,-12.930328369140625,-4.837066650390625,-5.920562744140625
2013-01-03-12,-12.098978996276855,-12.56512451171875,-4.21942138671875,-5.18719482421875
2013-01-03-13,-11.426311492919922,-11.732513427734375,-3.671966552734375,-4.685150146484375
2013-01-03-14,-11.09630298614502,-11.197052001953125,-3.033477783203125,-4.610626220703125
2013-01-03-15,-12.3154296875,-12.44970703125,-4.40771484375,-5.98974609375
2013-01-03-16,-12.562708854675293,-12.677947998046875,-4.660369873046875,-6.596405029296875
2013-01-03-17,-12.630084991455078,-12.346832275390625,-5.281890869140625,-6.990875244140625
2013-01-03-18,-12.802845001220703,-12.123260498046875,-5.885955810546875,-7.527069091796875
2013-01-03-19,-13.518589973449707,-12.931671142578125,-6.989776611328125,-8.488800048828125
2013-01-03-20,-13.28916072845459,-12.787261962890625,-6.978179931640625,-8.381988525390625
2013-01-03-21,-14.205313682556152,-13.760711669921875,-7.837371826171875,-9.266571044921875
2013-01-03-22,-13.59867000579834,-13.072357177734375,-5.811126708984375,-8.018157958984375
2013-01-03-23,-14.540568351745605,-14.0775146484375,-6.7147216796875,-8.9310302734375
2013-01-04-00,-14.618338584899902,-14.428131103515625,-7.036041259765625,-8.730377197265625
2013-01-04-01,-14.680034637451172,-14.519927978515625,-7.340728759765625,-8.737701416015625
2013-01-04-02,-14.706704139709473,-14.361114501953125,-7.237091064453125,-8.242950439453125
2013-01-04-03,-14.883052825927734,-14.165496826171875,-7.600067138671875,-8.828582763671875
2013-01-04-04,-14.825014114379883,-14.184600830078125,-7.525421142578125,-9.270050048828125
2013-01-04-05,-14.991982460021973,-14.401763916015625,-7.610260009765625,-9.588775634765625
2013-01-04-06,-15.22694206237793,-14.7685546875,-7.861328125,-9.9501953125
2013-01-04-07,-14.96589469909668,-14.72576904296875,-7.65692138671875,-10.31561279296875
2013-01-04-08,-14.688328742980957,-14.576019287109375,-7.526214599609375,-10.037933349609375
2013-01-04-09,-16.235424041748047,-16.102996826171875,-10.082489013671875,-11.874481201171875
2013-01-04-10,-13.82632827758789,-13.236053466796875,-7.750213623046875,-9.939178466796875
2013-01-04-11,-13.786556243896484,-13.351715087890625,-7.658843994140625,-9.893218994140625
2013-01-04-12,-14.25566577911377,-13.906707763671875,-8.140106201171875,-10.186981201171875
2013-01-04-13,-15.211920738220215,-14.52105712890625,-9.14239501953125,-11.86114501953125
2013-01-04-14,-15.901493072509766,-15.292633056640625,-9.646392822265625,-12.544342041015625
2013-01-04-15,-15.518400192260742,-15.071075439453125,-9.637481689453125,-12.274200439453125
2013-01-04-16,-15.485090255737305,-15.038421630859375,-9.606781005859375,-12.197601318359375
2013-01-04-17,-15.10090446472168,-14.81683349609375,-9.25091552734375,-11.85809326171875
2013-01-04-18,-15.528438568115234,-15.248321533203125,-9.667999267578125,-11.911651611328125
2013-01-04-19,-15.198930740356445,-14.889312744140625,-9.438873291015625,-11.649078369140625
2013-01-04-20,-14.9176025390625,-14.1756591796875,-9.2808837890625,-11.3089599609375
2013-01-04-21,-15.584381103515625,-14.210357666015625,-9.843414306640625,-11.733551025390625
2013-01-04-22,-14.813798904418945,-13.544891357421875,-9.106170654296875,-11.702606201171875
2013-01-04-23,-14.281989097595215,-12.987640380859375,-8.873626708984375,-10.567718505859375
2013-01-05-00,-14.637141227722168,-13.356781005859375,-9.152435302734375,-11.264739990234375
2013-01-05-01,-14.33859634399414,-13.0732421875,-9.24853515625,-11.0107421875
2013-01-05-02,-14.745525360107422,-13.787322998046875,-10.061004638671875,-11.305877685546875
2013-01-05-03,-15.02977180480957,-14.5181884765625,-10.2254638671875,-11.1663818359375
2013-01-05-04,-15.44703483581543,-15.2247314453125,-10.1561279296875,-11.6405029296875
2013-01-05-05,-15.555477142333984,-15.242767333984375,-10.157562255859375,-11.613128662109375
2013-01-05-06,-15.930301666259766,-15.100067138671875,-10.768768310546875,-12.974334716796875
2013-01-05-07,-16.00400161743164,-15.1644287109375,-11.1126708984375,-13.3214111328125
2013-01-05-08,-15.430572509765625,-15.344635009765625,-10.358062744140625,-12.763580322265625
2013-01-05-09,-17.09138298034668,-17.28192138671875,-12.21722412109375,-14.59149169921875
2013-01-05-10,-15.770612716674805,-16.925933837890625,-9.461334228515625,-11.612701416015625
2013-01-05-11,-15.99229621887207,-17.097900390625,-9.60107421875,-11.36181640625
2013-01-05-12,-16.200807571411133,-17.236770629882812,-9.299041748046875,-11.327606201171875
2013-01-05-13,-16.554243087768555,-17.320953369140625,-9.668365478515625,-11.512115478515625
2013-01-05-14,-16.98661231994629,-17.4149169921875,-10.0648193359375,-12.0511474609375
2013-01-05-15,-17.172842025756836,-17.002105712890625,-10.078521728515625,-12.471099853515625
