time,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1
2013-01-01-07,0.0,0.0,0.0,0.0,0.0
2013-01-01-08,0.0,0.0,0.0,0.0,0.0
2013-01-01-09,0.00015079676177661932,0.0,0.000476837158203125,0.0003395543899387121,0.0
2013-01-01-10,0.0006647552931338358,0.00010424992069602013,0.0021813903003931046,0.0012007658369839191,0.0
2013-01-01-11,0.0017851554725199534,0.0007532071322202682,0.006045796908438206,0.0021798769012093544,0.0
2013-01-01-12,0.004588210925893691,0.0011194497346878052,0.01699710264801979,0.003915745764970779,0.0
2013-01-01-13,0.0064028861187549425,0.0011473894119262695,0.024462584406137466,0.0036563724279403687,0.0
2013-01-01-14,0.00520744660590315,0.001621102448552847,0.018596317619085312,0.0029612756334245205,0.0
2013-01-01-15,0.007930080211350924,0.005899874027818441,0.016504844650626183,0.009451705031096935,0.0
2013-01-01-16,0.011076394559944426,0.014172025956213474,0.01891990751028061,0.017106622457504272,0.0
2013-01-01-17,0.005692787120535168,0.002876855432987213,0.015229685232043266,0.01339474692940712,0.0
2013-01-01-18,0.001784368842128016,0.00019138678908348083,0.005362788215279579,0.0038438010960817337,0.0
2013-01-01-19,0.005449379208798165,0.003957790322601795,0.013478933833539486,0.006483304314315319,0.0
2013-01-01-20,0.005400110483848709,0.003862065030261874,0.014667735435068607,0.008432763628661633,0.0
2013-01-01-21,0.005401072483587414,0.004050403833389282,0.01199132576584816,0.008220633491873741,0.0
2013-01-01-22,0.006126901603266403,0.0064132134430110455,0.01728780008852482,0.008367127738893032,0.0
2013-01-01-23,0.007222145987385213,0.006592810619622469,0.01809091866016388,0.01100215781480074,0.0
2013-01-02-00,0.008091904404519068,0.0059435307048261166,0.020281242206692696,0.010575463064014912,0.0
2013-01-02-01,0.009093624604883641,0.00654842471703887,0.02450665272772312,0.01103320810943842,0.0
2013-01-02-02,0.008093605005156749,0.006108399014919996,0.018259365111589432,0.011838361620903015,0.0
2013-01-02-03,0.006557065250271814,0.006018809974193573,0.01564030349254608,0.008042806759476662,0.0
2013-01-02-04,0.00940361107213234,0.00728370388969779,0.02898305468261242,0.011704226024448872,0.0
2013-01-02-05,0.021681986381314185,0.02402346581220627,0.04362966865301132,0.04165899008512497,0.0
2013-01-02-06,0.03711713781613119,0.033762454986572266,0.10148078948259354,0.07667780667543411,0.1111111111111111
2013-01-02-07,0.02675023245378348,0.017126215621829033,0.0690772533416748,0.032563816756010056,0.0
2013-01-02-08,0.03405159477383196,0.030012277886271477,0.0752335786819458,0.041176971048116684,0.0
2013-01-02-09,0.05364825553910318,0.05156281590461731,0.10518278181552887,0.07334645092487335,0.1111111111111111
2013-01-02-10,0.07047183307919523,0.07897753268480301,0.1190430298447609,0.10569345206022263,0.3333333333333333
2013-01-02-11,0.08165099720906213,0.08168243616819382,0.1603344827890396,0.14379046857357025,0.3333333333333333
2013-01-02-12,0.08097539356222049,0.05554117634892464,0.18877992033958435,0.18641436100006104,0.3333333333333333
2013-01-02-13,0.06628408294256473,0.011972568929195404,0.2066785991191864,0.16917237639427185,0.3333333333333333
2013-01-02-14,0.057965314142311944,0.011149877682328224,0.19578644633293152,0.14922404289245605,0.3333333333333333
2013-01-02-15,0.051581000212563906,0.013396227732300758,0.1813509464263916,0.12616822123527527,0.3333333333333333
2013-01-02-16,0.03477217275276079,0.011278316378593445,0.11557526886463165,0.08267723023891449,0.1111111111111111
2013-01-02-17,0.030069988410328784,0.01791686750948429,0.0723731592297554,0.05543426424264908,0.0
2013-01-02-18,0.023120646285365264,0.009162629023194313,0.0903441533446312,0.03169504553079605,0.0
2013-01-02-19,0.01966752945671019,0.0002905726432800293,0.09478628635406494,0.025162473320961,0.0
2013-01-02-20,0.020603715063335,0.00024214386940002441,0.07702037692070007,0.05145370960235596,0.0
2013-01-02-21,0.007419368307335128,0.00014528632164001465,0.031824223697185516,0.010661780834197998,0.0
2013-01-02-22,0.0008496869803371877,0.00019441358745098114,0.004716101102530956,0.00029080547392368317,0.0
2013-01-02-23,8.946052400322239e-05,0.0,0.00029084912966936827,0.00019446451915428042,0.0
2013-01-03-00,0.00010049545380277225,0.0,0.00029084912966936827,0.0002901797415688634,0.0
2013-01-03-01,0.00010049545380277225,0.0,0.00029084912966936827,0.0002901797415688634,0.0
2013-01-03-02,0.00012796781337137263,0.0,0.0006737391231581569,0.0001944717951118946,0.0
2013-01-03-03,0.00039730164452914205,0.0,0.0030819792300462723,0.00014511169865727425,0.0
2013-01-03-04,0.0008008749327726208,0.0,0.006938120350241661,0.00019441358745098114,0.0
2013-01-03-05,0.0008890132499979793,0.0,0.008285511285066605,0.0,0.0
2013-01-03-06,0.0006192547000559976,0.0,0.00424310564994812,0.0,0.0
2013-01-03-07,0.00010049545380277225,0.0,0.00029084912966936827,0.0002901797415688634,0.0
2013-01-03-08,0.0001229167870306071,0.0,0.000484651536680758,0.0002906599547713995,0.0
2013-01-03-09,0.00022357245912237316,0.0,0.0009214418241754174,0.0002906599547713995,0.0
2013-01-03-10,0.0004528121159433977,0.0,0.0020373263396322727,0.00029063085094094276,0.0
2013-01-03-11,0.0006541268154837674,0.0,0.0029109069146215916,0.00029063085094094276,0.0
2013-01-03-12,0.0006078698661210631,0.0,0.0024247565306723118,0.0004359753802418709,0.0
2013-01-03-13,0.00039125138404454834,0.0,0.0015996629372239113,0.0002906599547713995,0.0
2013-01-03-14,0.00019393952380318053,0.0,0.0006791087798774242,0.0002906599547713995,0.0
2013-01-03-15,9.328469055062385e-05,0.0,0.0002906526788137853,0.00014542456483468413,0.0
2013-01-03-16,0.00010746689504645566,7.261405698955059e-06,0.000387030013371259,0.0001450898707844317,0.0
2013-01-03-17,0.0001368738436937555,4.785397322848439e-05,0.0003871391527354717,0.0002906526788137853,0.0
2013-01-03-18,0.0001146026626844018,0.0,0.0003871391527354717,0.00014532997738569975,0.0
2013-01-03-19,8.813877040558324e-05,0.0,0.0003871391527354717,5.016045179218054e-05,0.0
2013-01-03-20,0.00016399824912060885,0.0,0.000774060026742518,0.0,0.0
2013-01-03-21,0.00024831491105712787,0.0,0.0007742783054709435,0.000774060026742518,0.0
2013-01-03-22,0.00024831491105712787,0.0,0.0007742783054709435,0.000774060026742518,0.0
2013-01-03-23,0.00042720408317361577,0.0006791087798774242,0.0008725473890081048,0.000774060026742518,0.0
2013-01-04-00,0.0005950639538408456,0.0007740745786577463,0.0017450947780162096,0.0007742783054709435,0.0
2013-01-04-01,0.0005887316437113153,0.00039441511034965515,0.0014542602002620697,0.0011109223123639822,0.0
2013-01-04-02,0.0004377342854680419,0.0004362664185464382,0.0014477991499006748,0.0007740745786577463,0.0
2013-01-04-03,0.0003521508966444996,0.0,0.0014477991499006748,0.0007742783054709435,0.0
2013-01-04-04,0.000361734987979947,0.0,0.0014477991499006748,0.0007742783054709435,0.0
2013-01-04-05,0.00043414768733030635,0.0,0.0014477991499006748,0.0011541415005922318,0.0
2013-01-04-06,0.0004174042190969629,0.0,0.0014477991499006748,0.0007742783054709435,0.0
2013-01-04-07,0.00020740507296883805,0.0,0.00106077641248703,0.0003870227374136448,0.0
2013-01-04-08,0.00016017691860971053,0.0,0.0007238995749503374,0.00038703728932887316,0.0
2013-01-04-09,0.00016017691860971053,0.0,0.0007238995749503374,0.00038703728932887316,0.0
2013-01-04-10,7.20373702459614e-05,0.0,0.0006737391231581569,0.0,0.0
2013-01-04-11,7.20373702459614e-05,0.0,0.0006737391231581569,0.0,0.0
2013-01-04-12,0.00016017691860971053,0.0,0.0007238995749503374,0.00038703728932887316,0.0
2013-01-04-13,0.00016017691860971053,0.0,0.0007238995749503374,0.00038703728932887316,0.0
2013-01-04-14,7.20373702459614e-05,0.0,0.0006737391231581569,0.0,0.0
2013-01-04-15,0.0,0.0,0.0,0.0,0.0
2013-01-04-16,0.0002070426744398279,0.0,0.001548120053485036,2.9045622795820236e-05,0.0
2013-01-04-17,0.00016863332387303804,0.0,0.001548120053485036,0.0,0.0
2013-01-04-18,0.00016555105361974425,0.0,0.0007742783054709435,0.0,0.0
2013-01-04-19,0.001155354076613399,0.0009682262316346169,0.0035939738154411316,0.0018566497601568699,0.0
2013-01-04-20,0.0019446708669369865,0.0013560056686401367,0.00498257577419281,0.004141242243349552,0.0
2013-01-04-21,0.0030596614964820256,0.0017124693840742111,0.0101474579423666,0.004493631422519684,0.0
2013-01-04-22,0.003509258067040342,0.0017124693840742111,0.013453653082251549,0.0036512501537799835,0.0
2013-01-04-23,0.006538227075737483,0.0016167759895324707,0.03527570515871048,0.005362555384635925,0.0
2013-01-05-00,0.004541413038136301,0.0017960555851459503,0.022671185433864594,0.004257075488567352,0.0
2013-01-05-01,0.009550457738452043,0.0018067657947540283,0.05667842924594879,0.004353001713752747,0.0
