time,humidity_mean,humidity_median,humidity_max,humidity_p75
2019-01-01-00,75.4542236328125,70.92308044433594,91.67015075683594,85.03929138183594
2019-01-01-03,75.10922241210938,71.59234619140625,87.65631103515625,85.09381103515625
2019-01-01-06,77.14749145507812,76.87324523925781,86.47651672363281,80.78291320800781
2019-01-01-09,81.70516967773438,80.29609680175781,87.71601867675781,84.25971984863281
2019-01-01-12,79.0030288696289,75.16400146484375,91.24407958984375,84.26556396484375
2019-01-01-15,74.12261199951172,67.333984375,91.095703125,84.7666015625
2019-01-01-18,72.10195922851562,64.83856201171875,91.91571044921875,85.59197998046875
2019-01-01-21,73.77242279052734,69.68946838378906,89.01954650878906,83.65724182128906
2019-01-02-00,74.97063446044922,75.64988708496094,83.60545349121094,80.76512145996094
2019-01-02-03,81.95887756347656,84.15231323242188,87.80392456054688,87.15377807617188
2019-01-02-06,80.93756103515625,80.42793273925781,88.40180969238281,86.63642883300781
2019-01-02-09,80.96829223632812,77.49165344238281,90.56636047363281,87.27461242675781
2019-01-02-12,79.5829849243164,75.41729736328125,91.91094970703125,87.57891845703125
2019-01-02-15,82.25275421142578,79.75514221191406,93.54957580566406,88.55787658691406
2019-01-02-18,84.95858764648438,83.2230224609375,94.8450927734375,91.4339599609375
2019-01-02-21,89.15361785888672,89.04373168945312,95.18484497070312,92.96560668945312
2019-01-03-00,91.12616729736328,92.24037170410156,95.11756896972656,93.27113342285156
2019-01-03-03,89.0629653930664,89.03338623046875,92.42889404296875,89.50982666015625
2019-01-03-06,87.52107238769531,86.95512390136719,94.03739929199219,87.82646179199219
2019-01-03-09,87.89686584472656,88.47189331054688,93.90328979492188,90.50192260742188
2019-01-03-12,89.84825134277344,90.173583984375,95.221435546875,93.462646484375
2019-01-03-15,93.25051879882812,93.93617248535156,98.70765686035156,97.17689514160156
2019-01-03-18,95.14045715332031,97.22294616699219,98.30058288574219,97.78056335449219
2019-01-03-21,99.67914581298828,102.56222534179688,103.77120971679688,102.74703979492188
2019-01-04-00,100.83184814453125,103.97892761230469,106.31877136230469,104.31755065917969
2019-01-04-03,97.55892944335938,96.5748291015625,103.9219970703125,102.9478759765625
2019-01-04-06,93.31976318359375,96.67729187011719,102.99809265136719,101.07817077636719
2019-01-04-09,92.08309173583984,100.400146484375,104.158935546875,101.200927734375
2019-01-04-12,93.79009246826172,102.76025390625,106.25927734375,103.35888671875
2019-01-04-15,91.76326751708984,101.79408264160156,104.75502014160156,103.81947326660156
2019-01-04-18,91.44395446777344,101.87234497070312,106.16433715820312,102.50418090820312
2019-01-04-21,90.94636535644531,102.25224304199219,104.47685241699219,103.06669616699219
2019-01-05-00,92.25987243652344,101.45431518554688,104.91720581054688,103.77072143554688
2019-01-05-03,92.20669555664062,101.9549560546875,105.9451904296875,103.7362060546875
2019-01-05-06,92.22490692138672,102.34263610839844,106.64146423339844,103.61900329589844
2019-01-05-09,92.23545837402344,101.73643493652344,106.54307556152344,103.76280212402344
2019-01-05-12,92.26969909667969,100.18159484863281,107.46577453613281,102.89546203613281
