time,temp_mean,temp_median,temp_max,temp_p75
2019-01-01-00,-6.091508865356445,-5.715911865234375,2.710357666015625,0.651275634765625
2019-01-01-01,-6.17397403717041,-4.782318115234375,2.023834228515625,-0.191497802734375
2019-01-01-02,-5.765228271484375,-4.210296630859375,1.451812744140625,-0.422454833984375
2019-01-01-03,-6.730099201202393,-5.479339599609375,-0.477630615234375,-2.398284912109375
2019-01-01-04,-6.43373966217041,-5.465667724609375,-0.990081787109375,-3.292572021484375
2019-01-01-05,-5.560964107513428,-5.024505615234375,-1.737884521484375,-3.491546630859375
2019-01-01-06,-5.497134685516357,-5.633880615234375,-1.484954833984375,-4.117034912109375
2019-01-01-07,-4.915293216705322,-4.320281982421875,-1.154022216796875,-4.107635498046875
2019-01-01-08,-5.927337646484375,-5.954193115234375,-1.763519287109375,-4.676605224609375
2019-01-01-09,-7.053585529327393,-7.546844482421875,-4.152801513671875,-4.891082763671875
2019-01-01-10,-7.23354434967041,-6.535491943359375,-4.751556396484375,-5.976165771484375
2019-01-01-11,-8.78630542755127,-8.908538818359375,-4.561859130859375,-6.219573974609375
2019-01-01-12,-8.154253005981445,-8.000823974609375,-3.098236083984375,-4.989837646484375
2019-01-01-13,-7.871890544891357,-7.138763427734375,-3.171722412109375,-5.306243896484375
2019-01-01-14,-6.760345458984375,-5.112884521484375,-2.754974365234375,-4.119476318359375
2019-01-01-15,-6.049272537231445,-3.793548583984375,-2.381439208984375,-3.313568115234375
2019-01-01-16,-6.216047286987305,-3.930511474609375,-2.739593505859375,-3.249114990234375
2019-01-01-17,-5.725921630859375,-3.953460693359375,-2.313323974609375,-2.558441162109375
2019-01-01-18,-5.38369083404541,-3.582855224609375,-1.940521240234375,-2.209564208984375
2019-01-01-19,-4.964338302612305,-3.370452880859375,-1.603851318359375,-1.898529052734375
2019-01-01-20,-5.023881912231445,-3.243988037109375,-1.644378662109375,-2.326263427734375
2019-01-01-21,-4.798187255859375,-2.752777099609375,-1.207855224609375,-2.519378662109375
2019-01-01-22,-5.834225177764893,-3.945648193359375,-2.595794677734375,-3.608367919921875
2019-01-01-23,-5.568735599517822,-3.832000732421875,-2.631072998046875,-3.389129638671875
2019-01-02-00,-4.94863224029541,-3.571746826171875,-2.085296630859375,-2.849456787109375
2019-01-02-01,-4.138275146484375,-2.911468505859375,-1.275848388671875,-1.863616943359375
2019-01-02-02,-4.114308834075928,-3.322601318359375,-1.179046630859375,-1.639862060546875
2019-01-02-03,-3.8709139823913574,-3.790985107421875,-0.589935302734375,-1.451995849609375
2019-01-02-04,-3.9250996112823486,-4.488006591796875,-0.218475341796875,-1.587371826171875
2019-01-02-05,-4.313771724700928,-5.503875732421875,-0.395599365234375,-2.414031982421875
2019-01-02-06,-4.11757755279541,-5.421600341796875,-0.108123779296875,-2.324798583984375
2019-01-02-07,-4.082963943481445,-5.069793701171875,0.048126220703125,-2.193328857421875
2019-01-02-08,-4.246538162231445,-4.927825927734375,0.061431884765625,-2.333343505859375
2019-01-02-09,-5.75418758392334,-5.812957763671875,-1.506683349609375,-4.421722412109375
2019-01-02-10,-6.556732177734375,-7.250213623046875,-1.640838623046875,-4.768157958984375
2019-01-02-11,-6.734005451202393,-8.266448974609375,-1.370452880859375,-4.834808349609375
2019-01-02-12,-6.661603927612305,-8.263763427734375,-1.212005615234375,-5.447113037109375
2019-01-02-13,-6.656721115112305,-8.590423583984375,-1.062591552734375,-5.402679443359375
2019-01-02-14,-6.723615646362305,-8.422210693359375,-0.897552490234375,-4.364593505859375
2019-01-02-15,-6.970224857330322,-8.577728271484375,-1.089691162109375,-4.839447021484375
2019-01-02-16,-7.118716716766357,-8.962738037109375,-1.066741943359375,-5.022064208984375
2019-01-02-17,-7.282806396484375,-7.527679443359375,-1.323089599609375,-5.097503662109375
2019-01-02-18,-7.022932052612305,-6.783294677734375,-2.260833740234375,-5.811126708984375
2019-01-02-19,-7.143374919891357,-6.558685302734375,-2.789154052734375,-5.795257568359375
2019-01-02-20,-6.990095138549805,-6.275360107421875,-3.117401123046875,-5.436370849609375
2019-01-02-21,-7.815860271453857,-6.801849365234375,-4.152313232421875,-6.322967529296875
2019-01-02-22,-6.988901615142822,-6.129730224609375,-3.525360107421875,-5.519378662109375
2019-01-02-23,-6.831119060516357,-6.200042724609375,-4.105560302734375,-5.277801513671875
2019-01-03-00,-6.46938419342041,-5.455535888671875,-4.519866943359375,-4.943450927734375
2019-01-03-01,-6.49515438079834,-6.000701904296875,-4.907440185546875,-5.617523193359375
2019-01-03-02,-5.776180744171143,-5.539703369140625,-3.957183837890625,-5.239044189453125
2019-01-03-03,-6.21042537689209,-6.313018798828125,-4.750579833984375,-5.414642333984375
2019-01-03-04,-7.190744876861572,-7.307098388671875,-5.534210205078125,-6.639068603515625
2019-01-03-05,-7.87349796295166,-7.814849853515625,-6.444366455078125,-7.072784423828125
2019-01-03-06,-8.21608829498291,-8.193634033203125,-6.701629638671875,-7.005157470703125
2019-01-03-07,-9.397199630737305,-9.788421630859375,-7.665496826171875,-8.093475341796875
2019-01-03-08,-9.664533615112305,-10.133270263671875,-7.693817138671875,-8.374481201171875
2019-01-03-09,-10.26197338104248,-11.082855224609375,-7.750701904296875,-8.988006591796875
2019-01-03-10,-12.31682300567627,-13.123870849609375,-9.755706787109375,-10.874725341796875
2019-01-03-11,-12.647199630737305,-13.204925537109375,-10.263153076171875,-11.307098388671875
2019-01-03-12,-13.13038158416748,-13.659637451171875,-10.524505615234375,-11.925140380859375
2019-01-03-13,-13.32341480255127,-13.706390380859375,-10.938201904296875,-12.045013427734375
2019-01-03-14,-13.870439529418945,-14.306365966796875,-11.595672607421875,-12.567596435546875
2019-01-03-15,-15.15642261505127,-16.133270263671875,-13.101104736328125,-13.977569580078125
2019-01-03-16,-15.305808067321777,-15.105926513671875,-13.501007080078125,-14.093597412109375
2019-01-03-17,-16.22193145751953,-15.7567138671875,-14.47381591796875,-15.04443359375
2019-01-03-18,-16.44162940979004,-16.142578125,-14.6044921875,-15.24139404296875
2019-01-03-19,-16.498849868774414,-16.116424560546875,-14.400909423828125,-15.253021240234375
2019-01-03-20,-17.83135223388672,-17.232666015625,-15.5506591796875,-16.297119140625
2019-01-03-21,-19.23236083984375,-18.41717529296875,-16.51495361328125,-17.21636962890625
2019-01-03-22,-20.254674911499023,-19.258132934570312,-17.372512817382812,-18.664749145507812
2019-01-03-23,-21.068387985229492,-20.330947875976562,-18.380874633789062,-19.459487915039062
2019-01-04-00,-21.52402687072754,-21.17852783203125,-18.71624755859375,-19.15716552734375
2019-01-04-01,-21.132266998291016,-21.415863037109375,-18.400115966796875,-18.630218505859375
2019-01-04-02,-21.390235900878906,-22.098922729492188,-18.873214721679688,-19.337081909179688
2019-01-04-03,-22.644689559936523,-22.906570434570312,-19.591751098632812,-20.644607543945312
2019-01-04-04,-23.848003387451172,-24.319656372070312,-20.353713989257812,-21.864334106445312
2019-01-04-05,-24.811288833618164,-25.518280029296875,-21.607025146484375,-22.987152099609375
2019-01-04-06,-24.897632598876953,-25.288040161132812,-22.339309692382812,-23.503982543945312
2019-01-04-07,-27.393083572387695,-27.839141845703125,-25.222686767578125,-26.105010986328125
2019-01-04-08,-27.435951232910156,-26.982513427734375,-25.398162841796875,-26.628021240234375
2019-01-04-09,-27.597999572753906,-27.694015502929688,-24.896163940429688,-26.688522338867188
2019-01-04-10,-27.968854904174805,-29.319305419921875,-22.238983154296875,-27.067352294921875
2019-01-04-11,-27.96574592590332,-29.51690673828125,-20.91632080078125,-27.16583251953125
2019-01-04-12,-27.32549476623535,-29.150527954101562,-18.748428344726562,-26.426651000976562
2019-01-04-13,-26.523151397705078,-28.317123413085938,-17.571517944335938,-25.757308959960938
2019-01-04-14,-26.775774002075195,-28.706817626953125,-17.635284423828125,-26.063751220703125
2019-01-04-15,-27.621601104736328,-29.622848510742188,-18.721237182617188,-27.240768432617188
2019-01-04-16,-27.90970802307129,-29.6485595703125,-19.0677490234375,-27.4893798828125
2019-01-04-17,-27.852855682373047,-29.638473510742188,-19.315719604492188,-27.113815307617188
2019-01-04-18,-28.22681427001953,-30.18585205078125,-19.78887939453125,-27.42510986328125
2019-01-04-19,-28.43505096435547,-30.038619995117188,-20.010787963867188,-27.107223510742188
2019-01-04-20,-28.379331588745117,-29.260299682617188,-20.260055541992188,-27.083297729492188
2019-01-04-21,-27.939285278320312,-29.379470825195312,-19.703689575195312,-26.399246215820312
2019-01-04-22,-29.26485824584961,-31.06756591796875,-21.56976318359375,-27.34027099609375
2019-01-04-23,-28.847137451171875,-30.709197998046875,-20.127166748046875,-26.858856201171875
2019-01-05-00,-28.94620704650879,-30.887802124023438,-20.037704467773438,-27.128036499023438
2019-01-05-01,-29.39115333557129,-31.263442993164062,-20.224380493164062,-27.635513305664062
2019-01-05-02,-29.80327033996582,-31.77459716796875,-20.44281005859375,-27.84222412109375
2019-01-05-03,-30.21608543395996,-31.870193481445312,-21.081375122070312,-28.467117309570312
2019-01-05-04,-30.54231071472168,-32.29852294921875,-21.17425537109375,-28.60589599609375
2019-01-05-05,-30.98175811767578,-32.42796325683594,-21.181137084960938,-28.870834350585938
2019-01-05-06,-30.94624900817871,-32.0062255859375,-20.8121337890625,-28.5330810546875
2019-01-05-07,-31.330373764038086,-32.180877685546875,-20.916961669921875,-28.754852294921875
2019-01-05-08,-31.286685943603516,-32.035491943359375,-21.027923583984375,-28.866058349609375
