time,tcc_mean,tcc_median,tcc_max,tcc_p75
2019-01-01-00,0.9341773986816406,0.9840728044509888,1.0000029802322388,0.99952232837677
2019-01-01-03,0.7606453895568848,0.937650740146637,0.992948591709137,0.991880476474762
2019-01-01-06,0.16668812930583954,0.1566741168498993,0.25569984316825867,0.25066062808036804
2019-01-01-09,0.369659423828125,0.048858642578125,1.0,1.0
2019-01-01-12,1.0,1.0,1.0,1.0
2019-01-01-15,1.0,1.0,1.0,1.0
2019-01-01-18,1.0,1.0,1.0,1.0
2019-01-01-21,1.0,1.0,1.0,1.0
2019-01-02-00,0.9859839677810669,0.9999993443489075,0.9999993443489075,0.9999993443489075
2019-01-02-03,0.7870518565177917,0.9090949892997742,1.000006914138794,1.000006914138794
2019-01-02-06,0.8266362547874451,0.9751687049865723,0.9981179237365723,0.9874672889709473
2019-01-02-09,0.8586132526397705,0.8965228199958801,0.9627383351325989,0.9233401417732239
2019-01-02-12,0.9224636554718018,0.9709564447402954,0.9970604181289673,0.9899917840957642
2019-01-02-15,0.9083787202835083,0.9564189314842224,0.9939021468162537,0.9869479537010193
2019-01-02-18,0.9720990657806396,0.9783920645713806,0.9962391257286072,0.9899906516075134
2019-01-02-21,0.9718632102012634,0.9680266976356506,0.9999995827674866,0.9999995827674866
2019-01-03-00,0.9970932006835938,0.9982154369354248,1.0,1.0
2019-01-03-03,0.9921238422393799,0.9930360913276672,0.9980848431587219,0.9948347210884094
2019-01-03-06,0.9924737215042114,0.9999998807907104,0.9999998807907104,0.9999998807907104
2019-01-03-09,0.9744630455970764,0.9864863753318787,0.9999999403953552,0.9999999403953552
2019-01-03-12,0.9206802845001221,0.9714394211769104,0.9999962449073792,0.9999962449073792
2019-01-03-15,0.8097452521324158,0.9281229376792908,1.000007152557373,0.9739603400230408
2019-01-03-18,0.6016250848770142,0.6961464881896973,0.9941506385803223,0.9510293006896973
2019-01-03-21,0.49522459506988525,0.49574169516563416,0.9117420315742493,0.5949848294258118
2019-01-04-00,0.5032052993774414,0.4425957202911377,0.9999992847442627,0.6950523853302002
2019-01-04-03,0.4011976420879364,0.27349853515625,1.0,0.727386474609375
2019-01-04-06,0.3331340253353119,0.1544366478919983,0.9385553002357483,0.5694757103919983
2019-01-04-09,0.2575598955154419,0.1925506591796875,0.7926483154296875,0.4414825439453125
2019-01-04-12,0.41497230529785156,0.40968936681747437,0.8825592398643494,0.5338348746299744
2019-01-04-15,0.49793684482574463,0.5758634805679321,0.9021574258804321,0.7678495645523071
2019-01-04-18,0.4888138175010681,0.6165570020675659,0.7939251661300659,0.7273052930831909
2019-01-04-21,0.42514368891716003,0.48674851655960083,0.7466209530830383,0.6978080868721008
2019-01-05-00,0.2814195454120636,0.2182769775390625,0.7591094970703125,0.4785308837890625
