date_slot,mean,median,max,origin
2015-01-01-00,0.0,0.0,0.0,0
2015-01-01-03,0.0,0.0,0.0,0
2015-01-01-06,62.42,62.42,62.42,1
2015-01-01-09,0.0,0.0,0.0,0
2015-01-01-12,0.0,0.0,0.0,0
2015-01-01-15,0.0,0.0,0.0,0
2015-01-01-18,0.0,0.0,0.0,0
2015-01-01-21,0.0,0.0,0.0,0
2015-01-02-00,0.0,0.0,0.0,0
2015-01-02-03,0.0,0.0,0.0,0
2015-01-02-06,0.0,0.0,0.0,0
2015-01-02-09,0.0,0.0,0.0,0
2015-01-02-12,0.0,0.0,0.0,0
2015-01-02-15,2431.07,2275.01,3797.22,0
2015-01-02-18,0.0,0.0,0.0,0
2015-01-02-21,0.0,0.0,0.0,0
2015-01-03-00,0.0,0.0,0.0,0
2015-01-03-03,542.53,487.54,802.78,0
2015-01-03-06,0.0,0.0,0.0,0
2015-01-03-12,0.0,0.0,0.0,0
2015-01-03-15,0.0,0.0,0.0,0
2015-01-03-18,0.0,0.0,0.0,0
2015-01-03-21,0.0,0.0,0.0,0
2015-01-04-00,0.0,0.0,0.0,0
2015-01-04-03,0.0,0.0,0.0,0
2015-01-04-06,0.0,0.0,0.0,0
2015-01-04-09,0.0,0.0,0.0,0
2015-01-04-12,0.0,0.0,0.0,0
2015-01-04-15,6923.12,6858.37,14550.17,1
2015-01-04-18,1707.03,1413.18,3652.54,0
2015-01-04-21,0.0,0.0,0.0,0
2015-01-05-03,110.01,106.25,247.26,0
2015-01-05-06,0.0,0.0,0.0,0
2015-01-05-09,0.0,0.0,0.0,0
2015-01-05-15,0.0,0.0,0.0,0
2015-01-05-18,0.0,0.0,0.0,0
2015-01-05-21,0.0,0.0,0.0,0
2015-01-06-03,11.98,11.98,16.2,0
2015-01-06-06,0.0,0.0,0.0,0
2015-01-06-09,0.0,0.0,0.0,0
2015-01-06-12,0.0,0.0,0.0,0
2015-01-06-15,0.0,0.0,0.0,0
2015-01-06-18,0.0,0.0,0.0,0
2015-01-06-21,0.0,0.0,0.0,0
2015-01-07-00,0.0,0.0,0.0,0
2015-01-07-03,0.0,0.0,0.0,0
2015-01-07-06,0.0,0.0,0.0,0
2015-01-07-09,0.0,0.0,0.0,0
2015-01-07-12,0.0,0.0,0.0,0
2015-01-07-15,0.0,0.0,0.0,0
2015-01-07-18,0.0,0.0,0.0,0
2015-01-07-21,0.0,0.0,0.0,0
2015-01-08-00,0.0,0.0,0.0,0
2015-01-08-03,0.0,0.0,0.0,0
2015-01-08-06,278.98,136.74,661.09,1
2015-01-08-09,0.0,0.0,0.0,0
2015-01-08-12,0.0,0.0,0.0,0
2015-01-08-15,0.0,0.0,0.0,0
2015-01-08-18,110.28,110.28,110.28,0
2015-01-08-21,0.0,0.0,0.0,0
2015-01-09-00,0.0,0.0,0.0,0
2015-01-09-03,0.0,0.0,0.0,0
2015-01-09-06,0.0,0.0,0.0,0
2015-01-09-09,0.0,0.0,0.0,0
2015-01-09-12,0.0,0.0,0.0,0
2015-01-09-15,0.0,0.0,0.0,0
2015-01-09-18,0.0,0.0,0.0,0
2015-01-09-21,0.0,0.0,0.0,0
2015-01-10-00,0.0,0.0,0.0,0
2015-01-10-03,0.0,0.0,0.0,0
2015-01-10-06,0.0,0.0,0.0,0
2015-01-10-09,3269.91,3423.69,4235.29,1
2015-01-10-12,0.0,0.0,0.0,0
2015-01-10-15,2030.4,2081.71,3125.52,0
2015-01-10-18,328.33,328.33,328.33,1
2015-01-10-21,0.0,0.0,0.0,0
2015-01-11-00,0.0,0.0,0.0,0
2015-01-11-03,0.0,0.0,0.0,0
2015-01-11-06,0.0,0.0,0.0,0
2015-01-11-09,5863.96,5863.96,5863.96,1
2015-01-11-12,0.0,0.0,0.0,0
2015-01-11-15,0.0,0.0,0.0,0
2015-01-11-18,0.0,0.0,0.0,0
2015-01-11-21,0.0,0.0,0.0,0
2015-01-12-00,0.0,0.0,0.0,0
2015-01-12-03,25.36,25.36,25.36,0
2015-01-12-06,0.0,0.0,0.0,0
2015-01-12-09,0.0,0.0,0.0,0
2015-01-12-12,0.0,0.0,0.0,0
2015-01-12-15,1654.75,1534.59,3031.21,0
2015-01-12-18,0.0,0.0,0.0,0
