date_slot,mean,median,max,origin
2012-01-10-23,0.0,0.0,0.0,0
2012-01-11-01,0.0,0.0,0.0,0
2012-01-11-03,0.0,0.0,0.0,0
2012-01-11-04,0.0,0.0,0.0,0
2012-01-11-06,0.0,0.0,0.0,0
2012-01-11-08,0.0,0.0,0.0,0
2012-01-11-10,0.0,0.0,0.0,0
2012-01-11-11,0.0,0.0,0.0,0
2012-01-11-13,0.0,0.0,0.0,0
2012-01-11-15,0.0,0.0,0.0,0
2012-01-11-17,0.0,0.0,0.0,0
2012-01-11-18,0.0,0.0,0.0,0
2012-01-11-20,0.0,0.0,0.0,0
2012-01-11-22,0.0,0.0,0.0,0
2012-01-11-23,0.0,0.0,0.0,0
2012-01-12-01,0.0,0.0,0.0,0
2012-01-12-04,91.48,91.48,91.48,1
2012-01-12-06,0.0,0.0,0.0,0
2012-01-12-08,0.0,0.0,0.0,0
2012-01-12-09,0.0,0.0,0.0,0
2012-01-12-11,0.0,0.0,0.0,0
2012-01-12-13,907.57,882.01,1475.28,0
2012-01-12-15,0.0,0.0,0.0,0
2012-01-12-16,0.0,0.0,0.0,0
2012-01-12-18,0.0,0.0,0.0,0
2012-01-12-20,0.0,0.0,0.0,0
2012-01-12-21,0.0,0.0,0.0,0
2012-01-12-23,0.0,0.0,0.0,0
2012-01-13-01,0.0,0.0,0.0,0
2012-01-13-02,0.0,0.0,0.0,0
2012-01-13-04,0.0,0.0,0.0,0
2012-01-13-07,76.83,76.83,76.83,1
2012-01-13-08,0.0,0.0,0.0,0
2012-01-13-09,0.0,0.0,0.0,0
2012-01-13-11,0.0,0.0,0.0,0
2012-01-13-13,0.0,0.0,0.0,0
2012-01-13-14,0.0,0.0,0.0,0
2012-01-13-16,0.0,0.0,0.0,0
2012-01-13-18,0.0,0.0,0.0,0
2012-01-13-20,0.0,0.0,0.0,0
2012-01-13-21,0.0,0.0,0.0,0
2012-01-13-23,0.0,0.0,0.0,0
2012-01-14-00,0.0,0.0,0.0,0
2012-01-14-02,0.0,0.0,0.0,0
2012-01-14-04,0.0,0.0,0.0,0
2012-01-14-07,282.94,282.94,457.25,1
2012-01-14-09,0.0,0.0,0.0,0
2012-01-14-11,0.0,0.0,0.0,0
2012-01-14-13,0.0,0.0,0.0,0
2012-01-14-14,0.0,0.0,0.0,0
2012-01-14-16,0.0,0.0,0.0,0
2012-01-14-18,0.0,0.0,0.0,0
2012-01-14-19,0.0,0.0,0.0,0
2012-01-14-21,0.0,0.0,0.0,0
2012-01-14-23,0.0,0.0,0.0,0
2012-01-15-00,0.0,0.0,0.0,0
2012-01-15-02,0.0,0.0,0.0,0
2012-01-15-04,0.0,0.0,0.0,0
2012-01-15-06,57.27,57.27,60.86,1
2012-01-15-07,0.0,0.0,0.0,0
2012-01-15-11,0.0,0.0,0.0,0
2012-01-15-12,0.0,0.0,0.0,0
