date_slot,mean,median,max,origin
2020-07-07-18,0.0,0.0,0.0,0
2020-07-07-21,0.0,0.0,-0.0,0
2020-07-08-00,0.0,0.0,0.0,0
2020-07-08-03,0.0,0.0,-0.0,0
2020-07-08-06,0.0,0.0,-0.0,0
2020-07-08-09,0.0,0.0,0.0,0
2020-07-08-12,0.0,0.0,0.0,0
2020-07-08-15,0.0,0.0,0.0,0
2020-07-08-18,0.0,0.0,0.0,0
2020-07-08-21,0.0,0.0,0.0,0
2020-07-09-00,0.0,0.0,0.0,0
2020-07-09-03,0.0,0.0,0.0,0
2020-07-09-06,0.0,0.0,-0.0,0
2020-07-09-09,0.0,0.0,0.0,0
2020-07-09-12,0.0,0.0,0.0,0
2020-07-09-15,0.0,0.0,0.0,0
2020-07-09-18,0.0,0.0,0.0,0
2020-07-09-21,0.0,0.0,0.0,0
2020-07-10-03,0.0,0.0,0.0,0
2020-07-10-06,0.0,0.0,0.0,0
2020-07-10-09,0.0,0.0,0.0,0
2020-07-10-12,0.0,0.0,0.0,0
2020-07-10-15,0.0,0.0,0.0,0
2020-07-10-18,0.0,0.0,0.0,0
2020-07-10-21,0.0,0.0,-0.0,0
2020-07-11-03,0.0,0.0,0.0,0
2020-07-11-06,0.0,0.0,-0.0,0
2020-07-11-09,0.0,0.0,0.0,0
2020-07-11-12,0.0,0.0,0.0,0
2020-07-11-15,0.0,0.0,0.0,0
2020-07-11-18,0.0,0.0,-0.0,0
2020-07-11-21,0.0,0.0,-0.0,0
2020-07-12-00,0.0,0.0,0.0,0
2020-07-12-03,0.0,0.0,-0.0,0
2020-07-12-06,0.0,0.0,0.0,0
2020-07-12-09,0.0,0.0,0.0,0
2020-07-12-12,0.0,0.0,-0.0,0
2020-07-12-15,0.0,0.0,0.0,0
2020-07-12-18,0.0,0.0,-0.0,0
2020-07-12-21,0.0,0.0,-0.0,0
2020-07-13-00,0.0,0.0,0.0,0
2020-07-13-03,108.43,94.45,173.26,0
2020-07-13-06,0.0,0.0,0.0,0
2020-07-13-09,0.0,0.0,0.0,0
2020-07-13-12,0.0,0.0,-0.0,0
2020-07-13-15,0.0,0.0,0.0,0
2020-07-13-18,0.0,0.0,0.0,0
2020-07-13-21,0.0,0.0,0.0,0
2020-07-14-00,0.0,0.0,0.0,0
2020-07-14-03,0.0,0.0,0.0,0
2020-07-14-06,0.0,0.0,0.0,0
2020-07-14-09,0.0,0.0,0.0,0
2020-07-14-12,0.0,0.0,0.0,0
2020-07-14-15,0.0,0.0,0.0,0
2020-07-14-18,0.0,0.0,0.0,0
2020-07-14-21,0.0,0.0,-0.0,0
2020-07-15-00,0.0,0.0,0.0,0
2020-07-15-03,0.0,0.0,0.0,0
2020-07-15-06,0.0,0.0,0.0,0
2020-07-15-09,0.0,0.0,0.0,0
2020-07-15-12,0.0,0.0,0.0,0
2020-07-15-15,0.0,0.0,0.0,0
2020-07-15-18,0.0,0.0,-0.0,0
2020-07-15-21,0.0,0.0,0.0,0
2020-07-16-00,0.0,0.0,0.0,0
2020-07-16-03,0.0,0.0,0.0,0
2020-07-16-06,0.0,0.0,0.0,0
2020-07-16-09,0.0,0.0,0.0,0
2020-07-16-12,0.0,0.0,0.0,0
2020-07-16-15,0.0,0.0,0.0,0
2020-07-16-18,0.0,0.0,0.0,0
2020-07-16-21,0.0,0.0,-0.0,0
2020-07-17-00,0.0,0.0,0.0,0
2020-07-17-03,0.0,0.0,0.0,0
2020-07-17-06,0.0,0.0,0.0,0
2020-07-17-09,0.0,0.0,0.0,0
2020-07-17-12,0.0,0.0,0.0,0
2020-07-17-15,0.0,0.0,0.0,0
2020-07-17-18,0.0,0.0,0.0,0
2020-07-17-21,0.0,0.0,0.0,0
2020-07-18-03,0.0,0.0,-0.0,0
2020-07-18-06,0.0,0.0,0.0,0
2020-07-18-09,0.0,0.0,0.0,0
2020-07-18-12,0.0,0.0,0.0,0
2020-07-18-15,0.0,0.0,0.0,0
2020-07-18-18,0.0,0.0,0.0,0
2020-07-18-21,0.0,0.0,0.0,0
2020-07-19-00,0.0,0.0,0.0,0
2020-07-19-03,0.0,0.0,0.0,0
2020-07-19-06,0.0,0.0,0.0,0
2020-07-19-09,0.0,0.0,0.0,0
2020-07-19-12,0.0,0.0,0.0,0
2020-07-19-15,0.0,0.0,0.0,0
2020-07-19-18,0.0,0.0,0.0,0
2020-07-19-21,0.0,0.0,-0.0,0
2020-07-20-00,0.0,0.0,-0.0,0
2020-07-20-12,0.0,0.0,0.0,0
2020-07-20-15,0.0,0.0,0.0,0
2020-07-20-18,0.0,0.0,-0.0,0
2020-07-20-21,0.0,0.0,0.0,0
2020-07-21-00,0.0,0.0,0.0,0
2020-07-21-03,356.25,283.08,675.23,0
2020-07-21-06,0.0,0.0,0.0,0
2020-07-21-09,0.0,0.0,0.0,0
2020-07-21-12,0.0,0.0,0.0,0
2020-07-21-15,0.0,0.0,0.0,0
2020-07-21-18,322.46,322.46,494.82,0
2020-07-21-21,0.0,0.0,0.0,0
2020-07-22-00,0.0,0.0,0.0,0
