date_slot,mean,median,max,origin
2020-07-07-18,0.0,0.0,0.0,0
2020-07-07-20,0.0,0.0,0.0,0
2020-07-07-21,0.0,0.0,0.0,0
2020-07-07-23,0.0,0.0,0.0,0
2020-07-08-01,0.0,0.0,0.0,0
2020-07-08-02,0.0,0.0,0.0,0
2020-07-08-04,0.0,0.0,0.0,0
2020-07-08-06,0.0,0.0,0.0,0
2020-07-08-07,0.0,0.0,0.0,0
2020-07-08-09,0.0,0.0,0.0,0
2020-07-08-11,0.0,0.0,0.0,0
2020-07-08-13,0.0,0.0,0.0,0
2020-07-08-14,0.0,0.0,0.0,0
2020-07-08-16,0.0,0.0,0.0,0
2020-07-08-18,0.0,0.0,0.0,0
2020-07-08-19,0.0,0.0,0.0,0
2020-07-08-21,0.0,0.0,0.0,0
2020-07-08-23,0.0,0.0,0.0,0
2020-07-09-00,0.0,0.0,0.0,0
2020-07-09-02,0.0,0.0,0.0,0
2020-07-09-04,0.0,0.0,0.0,0
2020-07-09-05,0.0,0.0,0.0,0
2020-07-09-07,0.0,0.0,0.0,0
2020-07-09-09,0.0,0.0,0.0,0
2020-07-09-11,0.0,0.0,0.0,0
2020-07-09-12,0.0,0.0,0.0,0
2020-07-09-14,0.0,0.0,0.0,0
2020-07-09-16,0.0,0.0,0.0,0
2020-07-09-17,0.0,0.0,0.0,0
2020-07-09-19,0.0,0.0,0.0,0
2020-07-09-21,0.0,0.0,0.0,0
2020-07-09-22,0.0,0.0,0.0,0
2020-07-10-02,0.0,0.0,0.0,0
2020-07-10-03,0.0,0.0,0.0,0
2020-07-10-05,0.0,0.0,0.0,0
2020-07-10-07,0.0,0.0,0.0,0
2020-07-10-09,0.0,0.0,0.0,0
2020-07-10-10,0.0,0.0,0.0,0
2020-07-10-12,0.0,0.0,0.0,0
2020-07-10-14,0.0,0.0,0.0,0
2020-07-10-16,0.0,0.0,0.0,0
2020-07-10-17,0.0,0.0,0.0,0
2020-07-10-19,0.0,0.0,0.0,0
2020-07-10-21,0.0,0.0,0.0,0
2020-07-10-22,0.0,0.0,0.0,0
2020-07-10-23,0.0,0.0,0.0,0
2020-07-11-02,0.0,0.0,0.0,0
2020-07-11-03,0.0,0.0,0.0,0
2020-07-11-05,0.0,0.0,0.0,0
2020-07-11-08,24.59,24.59,24.59,1
2020-07-11-10,0.0,0.0,0.0,0
2020-07-11-12,0.0,0.0,0.0,0
2020-07-11-14,0.0,0.0,0.0,0
2020-07-11-15,0.0,0.0,0.0,0
2020-07-11-17,0.0,0.0,0.0,0
2020-07-11-19,0.0,0.0,0.0,0
2020-07-11-20,0.0,0.0,0.0,0
2020-07-11-22,0.0,0.0,0.0,0
2020-07-11-23,0.0,0.0,0.0,0
2020-07-12-01,0.0,0.0,0.0,0
2020-07-12-03,0.0,0.0,0.0,0
2020-07-12-05,0.0,0.0,0.0,0
2020-07-12-06,0.0,0.0,0.0,0
2020-07-12-08,0.0,0.0,0.0,0
2020-07-12-10,0.0,0.0,0.0,0
2020-07-12-12,0.0,0.0,0.0,0
2020-07-12-13,0.0,0.0,0.0,0
2020-07-12-15,0.0,0.0,0.0,0
2020-07-12-17,0.0,0.0,0.0,0
2020-07-12-18,82.07,82.07,115.42,0
2020-07-12-22,0.0,0.0,0.0,0
2020-07-12-23,0.0,0.0,0.0,0
2020-07-13-01,0.0,0.0,0.0,0
2020-07-13-03,108.43,94.45,173.26,0
2020-07-13-04,0.0,0.0,0.0,0
2020-07-13-06,0.0,0.0,0.0,0
2020-07-13-08,0.0,0.0,0.0,0
2020-07-13-10,0.0,0.0,0.0,0
2020-07-13-12,857.19,857.19,857.19,1
2020-07-13-13,0.0,0.0,0.0,0
2020-07-13-15,0.0,0.0,0.0,0
2020-07-13-17,0.0,0.0,0.0,0
2020-07-13-18,0.0,0.0,0.0,0
2020-07-13-20,0.0,0.0,0.0,0
2020-07-13-22,0.0,0.0,0.0,0
2020-07-13-23,0.0,0.0,0.0,0
2020-07-14-01,0.0,0.0,0.0,0
2020-07-14-03,0.0,0.0,0.0,0
2020-07-14-04,0.0,0.0,0.0,0
2020-07-14-06,0.0,0.0,0.0,0
2020-07-14-08,0.0,0.0,0.0,0
2020-07-14-09,0.0,0.0,0.0,0
2020-07-14-11,0.0,0.0,0.0,0
2020-07-14-13,0.0,0.0,0.0,0
2020-07-14-15,0.0,0.0,0.0,0
2020-07-14-16,0.0,0.0,0.0,0
2020-07-14-19,23.54,22.21,43.53,1
2020-07-14-20,0.0,0.0,0.0,0
2020-07-14-21,0.0,0.0,0.0,0
2020-07-14-23,0.0,0.0,0.0,0
2020-07-15-01,0.0,0.0,0.0,0
2020-07-15-02,0.0,0.0,0.0,0
2020-07-15-04,0.0,0.0,0.0,0
2020-07-15-06,0.0,0.0,0.0,0
2020-07-15-07,0.0,0.0,0.0,0
2020-07-15-10,1137.28,1137.28,1137.28,1
2020-07-15-11,0.0,0.0,0.0,0
2020-07-15-15,2300.94,2012.93,3815.53,1
2020-07-15-16,0.0,0.0,0.0,0
2020-07-15-18,0.0,0.0,0.0,0
2020-07-15-19,0.0,0.0,0.0,0
2020-07-15-21,0.0,0.0,0.0,0
2020-07-15-23,0.0,0.0,0.0,0
2020-07-16-00,0.0,0.0,0.0,0
2020-07-16-02,256.34,256.34,336.56,0
2020-07-16-04,0.0,0.0,0.0,0
2020-07-16-05,0.0,0.0,0.0,0
2020-07-16-07,0.0,0.0,0.0,0
2020-07-16-09,0.0,0.0,0.0,0
2020-07-16-12,1647.32,1550.52,2387.63,1
2020-07-16-14,0.0,0.0,0.0,0
2020-07-16-16,0.0,0.0,0.0,0
2020-07-16-18,0.0,0.0,0.0,0
2020-07-16-19,0.0,0.0,0.0,0
2020-07-16-21,0.0,0.0,0.0,0
2020-07-16-23,0.0,0.0,0.0,0
2020-07-17-00,0.0,0.0,0.0,0
2020-07-17-02,0.0,0.0,0.0,0
2020-07-17-04,0.0,0.0,0.0,0
2020-07-17-05,0.0,0.0,0.0,0
