date_slot,mean,median,max,origin
2016-01-01-01,0.0,0.0,0.0,0
2016-01-01-03,0.0,0.0,0.0,0
2016-01-01-05,1898.06,2052.92,2477.61,0
2016-01-01-07,0.0,0.0,0.0,0
2016-01-01-08,0.0,0.0,0.0,0
2016-01-01-10,0.0,0.0,0.0,0
2016-01-01-12,0.0,0.0,0.0,0
2016-01-01-14,0.0,0.0,0.0,0
2016-01-01-15,0.0,0.0,0.0,0
2016-01-01-17,0.0,0.0,0.0,0
2016-01-01-19,0.0,0.0,0.0,0
2016-01-01-20,0.0,0.0,0.0,0
2016-01-01-22,0.0,0.0,0.0,0
2016-01-01-23,0.0,0.0,0.0,0
2016-01-02-01,0.0,0.0,0.0,0
2016-01-02-03,0.0,0.0,0.0,0
2016-01-02-05,0.0,0.0,0.0,0
2016-01-02-06,0.0,0.0,0.0,0
2016-01-02-08,0.0,0.0,0.0,0
2016-01-02-11,4962.49,4720.11,7997.85,1
2016-01-02-12,0.0,0.0,0.0,0
2016-01-02-13,0.0,0.0,0.0,0
2016-01-02-15,0.0,0.0,0.0,0
2016-01-02-17,0.0,0.0,0.0,0
2016-01-02-18,0.0,0.0,0.0,0
2016-01-02-20,0.0,0.0,0.0,0
2016-01-02-22,0.0,0.0,0.0,0
2016-01-02-23,0.0,0.0,0.0,0
2016-01-03-01,0.0,0.0,0.0,0
2016-01-03-03,0.0,0.0,0.0,0
2016-01-03-04,0.0,0.0,0.0,0
2016-01-03-06,0.0,0.0,0.0,0
2016-01-03-08,0.0,0.0,0.0,0
2016-01-03-10,0.0,0.0,0.0,0
2016-01-03-11,0.0,0.0,0.0,0
2016-01-03-13,0.0,0.0,0.0,0
2016-01-03-15,0.0,0.0,0.0,0
2016-01-03-17,0.0,0.0,0.0,0
2016-01-03-19,24.18,24.18,24.18,1
2016-01-03-20,0.0,0.0,0.0,0
2016-01-03-22,0.0,0.0,0.0,0
2016-01-03-23,0.0,0.0,0.0,0
2016-01-04-01,0.0,0.0,0.0,0
2016-01-04-02,0.0,0.0,0.0,0
2016-01-04-04,0.0,0.0,0.0,0
2016-01-04-06,0.0,0.0,0.0,0
2016-01-04-08,0.0,0.0,0.0,0
2016-01-04-09,0.0,0.0,0.0,0
2016-01-04-11,0.0,0.0,0.0,0
2016-01-04-13,0.0,0.0,0.0,0
2016-01-04-15,0.0,0.0,0.0,0
2016-01-04-16,0.0,0.0,0.0,0
2016-01-04-18,0.0,0.0,0.0,0
2016-01-04-20,0.0,0.0,0.0,0
2016-01-04-21,0.0,0.0,0.0,0
2016-01-04-23,0.0,0.0,0.0,0
2016-01-05-01,0.0,0.0,0.0,0
2016-01-05-02,0.0,0.0,0.0,0
2016-01-05-04,0.0,0.0,0.0,0
2016-01-05-06,0.0,0.0,0.0,0
2016-01-05-07,0.0,0.0,0.0,0
2016-01-05-09,0.0,0.0,0.0,0
2016-01-05-11,0.0,0.0,0.0,0
2016-01-05-13,0.0,0.0,0.0,0
2016-01-05-14,0.0,0.0,0.0,0
2016-01-05-16,0.0,0.0,0.0,0
2016-01-05-18,0.0,0.0,0.0,0
2016-01-05-19,0.0,0.0,0.0,0
2016-01-05-21,0.0,0.0,0.0,0
2016-01-05-23,0.0,0.0,0.0,0
2016-01-06-00,0.0,0.0,0.0,0
2016-01-06-02,0.0,0.0,0.0,0
2016-01-06-04,0.0,0.0,0.0,0
2016-01-06-05,0.0,0.0,0.0,0
2016-01-06-08,5992.88,6033.39,8050.11,1
2016-01-06-09,0.0,0.0,0.0,0
2016-01-06-11,0.0,0.0,0.0,0
2016-01-06-12,0.0,0.0,0.0,0
2016-01-06-14,0.0,0.0,0.0,0
2016-01-06-16,0.0,0.0,0.0,0
2016-01-06-18,0.0,0.0,0.0,0
2016-01-06-19,0.0,0.0,0.0,0
2016-01-06-21,0.0,0.0,0.0,0
2016-01-06-23,0.0,0.0,0.0,0
2016-01-07-02,0.0,0.0,0.0,0
2016-01-07-03,0.0,0.0,0.0,0
2016-01-07-05,0.0,0.0,0.0,0
2016-01-07-07,0.0,0.0,0.0,0
2016-01-07-09,0.0,0.0,0.0,0
2016-01-07-10,0.0,0.0,0.0,0
2016-01-07-12,0.0,0.0,0.0,0
2016-01-07-14,945.71,1058.11,1429.16,0
2016-01-07-16,0.0,0.0,0.0,0
2016-01-07-17,0.0,0.0,0.0,0
2016-01-07-19,0.0,0.0,0.0,0
2016-01-07-21,0.0,0.0,0.0,0
2016-01-07-22,0.0,0.0,0.0,0
2016-01-07-23,0.0,0.0,0.0,0
2016-01-08-02,0.0,0.0,0.0,0
2016-01-08-03,0.0,0.0,0.0,0
2016-01-08-05,0.0,0.0,0.0,0
2016-01-08-07,0.0,0.0,0.0,0
2016-01-08-08,0.0,0.0,0.0,0
2016-01-08-10,0.0,0.0,0.0,0
2016-01-08-12,0.0,0.0,0.0,0
2016-01-08-14,0.0,0.0,0.0,0
2016-01-08-15,0.0,0.0,0.0,0
2016-01-08-17,0.0,0.0,0.0,0
2016-01-08-19,0.0,0.0,0.0,0
2016-01-08-20,0.0,0.0,0.0,0
2016-01-08-22,0.0,0.0,0.0,0
2016-01-08-23,0.0,0.0,0.0,0
2016-01-09-01,0.0,0.0,0.0,0
2016-01-09-03,0.0,0.0,0.0,0
2016-01-09-05,0.0,0.0,0.0,0
2016-01-09-06,0.0,0.0,0.0,0
2016-01-09-08,0.0,0.0,0.0,0
2016-01-09-10,0.0,0.0,0.0,0
2016-01-09-12,0.0,0.0,0.0,0
2016-01-09-13,0.0,0.0,0.0,0
2016-01-09-15,0.0,0.0,0.0,0
2016-01-09-17,0.0,0.0,0.0,0
2016-01-09-19,0.0,0.0,0.0,0
2016-01-09-20,0.0,0.0,0.0,0
2016-01-09-22,0.0,0.0,0.0,0
2016-01-09-23,0.0,0.0,0.0,0
2016-01-10-01,0.0,0.0,0.0,0
2016-01-10-03,0.0,0.0,0.0,0
2016-01-10-05,0.0,0.0,0.0,0
2016-01-10-06,0.0,0.0,0.0,0
2016-01-10-08,0.0,0.0,0.0,0
2016-01-10-10,0.0,0.0,0.0,0
2016-01-10-11,0.0,0.0,0.0,0
2016-01-10-13,0.0,0.0,0.0,0
2016-01-10-15,0.0,0.0,0.0,0
2016-01-10-17,0.0,0.0,0.0,0
2016-01-10-18,22.43,22.43,22.43,0
2016-01-10-20,0.0,0.0,0.0,0
2016-01-10-22,0.0,0.0,0.0,0
2016-01-10-23,0.0,0.0,0.0,0
2016-01-11-01,0.0,0.0,0.0,0
2016-01-11-03,0.0,0.0,0.0,0
2016-01-11-04,0.0,0.0,0.0,0
2016-01-11-06,0.0,0.0,0.0,0
2016-01-11-09,0.0,0.0,0.0,0
2016-01-11-11,0.0,0.0,0.0,0
2016-01-11-13,0.0,0.0,0.0,0
2016-01-11-15,0.0,0.0,0.0,0
2016-01-11-16,0.0,0.0,0.0,0
2016-01-11-18,8.18,8.18,10.47,0
2016-01-11-20,0.0,0.0,0.0,0
2016-01-11-21,0.0,0.0,0.0,0
2016-01-11-23,0.0,0.0,0.0,0
2016-01-12-01,0.0,0.0,0.0,0
2016-01-12-02,0.0,0.0,0.0,0
2016-01-12-04,0.0,0.0,0.0,0
2016-01-12-06,0.0,0.0,0.0,0
2016-01-12-08,0.0,0.0,0.0,0
2016-01-12-09,0.0,0.0,0.0,0
2016-01-12-11,0.0,0.0,0.0,0
2016-01-12-13,0.0,0.0,0.0,0
2016-01-12-15,0.0,0.0,0.0,0
2016-01-12-16,0.0,0.0,0.0,0
