mean,median,max,time
56.0,23.67,247.13,2012-09-08 12:00:00
45.26,28.58,223.79,2012-09-12 09:00:00
30.17,27.36,199.54,2012-09-18 06:00:00
77.61,73.12,248.96,2012-09-18 09:00:00
46.88,41.6,189.12,2012-09-18 12:00:00
36.4,26.06,161.57,2012-09-19 12:00:00
30.58,23.38,178.68,2012-09-20 09:00:00
24.82,21.66,193.91,2012-09-22 09:00:00
16.07,17.33,139.65,2012-09-28 09:00:00
13.83,15.31,60.9,2012-09-29 09:00:00
111.63,126.89,249.07,2012-10-02 09:00:00
15.17,16.54,30.14,2012-10-03 06:00:00
20.83,17.12,214.33,2012-10-03 09:00:00
17.5,15.71,248.84,2012-10-03 12:00:00
32.96,21.63,221.78,2012-10-04 09:00:00
42.35,36.49,194.95,2012-10-05 09:00:00
36.04,28.16,105.29,2012-10-05 12:00:00
28.13,22.26,117.69,2012-10-06 09:00:00
32.87,32.63,78.62,2012-10-06 12:00:00
40.0,28.66,204.17,2012-10-07 09:00:00
87.43,80.34,243.6,2012-10-08 06:00:00
42.02,31.27,209.49,2012-10-08 09:00:00
21.19,19.11,91.76,2012-10-08 12:00:00
106.17,88.58,247.59,2012-10-09 06:00:00
87.35,63.37,246.68,2012-10-09 09:00:00
42.17,38.89,238.43,2012-10-09 12:00:00
31.42,19.26,218.69,2012-10-10 06:00:00
78.76,61.43,248.96,2012-10-10 09:00:00
60.11,42.11,241.93,2012-10-10 12:00:00
33.76,26.8,199.23,2012-10-11 09:00:00
28.84,24.33,169.81,2012-10-11 12:00:00
24.99,17.33,214.82,2012-10-12 06:00:00
34.71,33.2,168.97,2012-10-12 09:00:00
48.95,46.55,224.19,2012-10-12 12:00:00
46.88,20.21,249.07,2012-10-13 03:00:00
90.5,87.67,239.18,2012-10-13 06:00:00
70.88,63.94,249.07,2012-10-13 09:00:00
98.37,90.26,249.07,2012-10-13 12:00:00
38.33,38.19,87.94,2012-10-14 06:00:00
36.31,32.88,146.91,2012-10-14 09:00:00
29.27,25.75,155.51,2012-10-15 09:00:00
23.39,17.79,150.29,2012-10-16 06:00:00
28.65,23.84,104.45,2012-10-16 09:00:00
40.03,40.61,100.42,2012-10-16 12:00:00
24.62,20.81,76.69,2012-10-17 06:00:00
72.99,63.37,230.78,2012-10-23 09:00:00
44.01,28.59,204.95,2012-10-23 12:00:00
50.09,36.77,219.12,2012-10-24 09:00:00
35.34,25.32,237.36,2012-10-25 09:00:00
18.92,19.99,107.75,2012-10-26 09:00:00
48.95,31.86,242.5,2012-10-28 09:00:00
34.77,30.51,81.88,2012-10-28 12:00:00
14.94,16.01,26.55,2012-10-29 12:00:00
17.1,19.51,29.76,2012-10-30 03:00:00
17.36,18.56,32.9,2012-10-31 03:00:00
18.94,19.16,96.19,2012-11-01 03:00:00
82.81,83.61,239.45,2012-11-01 06:00:00
137.36,139.06,249.07,2012-11-01 09:00:00
173.09,190.22,249.07,2012-11-01 12:00:00
16.81,15.51,248.39,2012-11-02 12:00:00
14.11,15.12,25.86,2012-11-03 09:00:00
19.41,19.03,79.06,2012-11-04 09:00:00
24.45,16.45,197.11,2012-11-05 12:00:00
34.49,22.74,238.56,2012-11-06 09:00:00
61.1,39.39,248.5,2012-11-06 12:00:00
42.59,19.04,243.14,2012-11-06 15:00:00
43.58,33.31,248.5,2012-11-07 09:00:00
42.04,34.52,240.86,2012-11-07 12:00:00
27.57,18.37,242.7,2012-11-07 15:00:00
25.97,19.56,132.13,2012-11-13 03:00:00
29.33,22.54,195.03,2012-11-13 06:00:00
85.78,65.18,249.07,2012-11-14 03:00:00
107.87,101.67,249.07,2012-11-14 06:00:00
66.51,51.06,236.08,2012-11-14 09:00:00
66.46,57.6,209.59,2012-11-14 12:00:00
21.93,22.53,79.52,2012-11-14 15:00:00
38.55,29.31,171.97,2012-11-17 12:00:00
25.79,16.56,188.14,2012-11-17 15:00:00
27.45,15.99,233.85,2012-11-18 09:00:00
30.55,15.76,214.75,2012-11-19 09:00:00
28.22,20.16,166.91,2012-11-19 12:00:00
21.89,15.69,246.45,2012-11-20 03:00:00
27.2,23.41,226.03,2012-11-20 06:00:00
54.5,50.11,236.2,2012-11-20 09:00:00
101.84,94.34,234.37,2012-11-20 12:00:00
71.85,72.93,204.91,2012-11-20 15:00:00
36.87,21.48,249.07,2012-11-21 06:00:00
46.95,30.25,232.25,2012-11-21 09:00:00
36.85,25.77,224.2,2012-11-23 09:00:00
44.94,32.47,248.73,2012-11-24 03:00:00
160.27,168.38,249.07,2012-11-24 06:00:00
73.25,45.99,248.5,2012-11-24 09:00:00
83.73,85.81,249.07,2012-11-24 12:00:00
26.87,22.44,131.86,2012-11-25 15:00:00
22.06,18.81,236.8,2012-11-26 06:00:00
17.83,16.5,115.38,2012-11-26 12:00:00
23.95,20.09,215.37,2012-11-27 06:00:00
30.9,24.43,145.23,2012-11-27 12:00:00
16.89,17.53,115.23,2012-11-28 03:00:00
21.23,22.05,117.99,2012-11-28 06:00:00
18.76,19.16,60.85,2012-11-28 12:00:00
15.67,15.43,61.75,2012-11-28 15:00:00
17.4,17.23,195.66,2012-11-29 06:00:00
18.85,17.61,248.73,2012-11-29 12:00:00
36.73,21.06,234.07,2012-11-30 09:00:00
24.75,17.31,248.62,2012-11-30 12:00:00
16.55,16.95,30.74,2012-12-01 09:00:00
17.34,15.88,249.07,2012-12-01 12:00:00
57.87,27.36,249.07,2012-12-02 06:00:00
43.2,31.0,226.06,2012-12-02 09:00:00
61.25,57.7,248.73,2012-12-02 12:00:00
23.5,17.65,152.89,2012-12-02 15:00:00
28.79,18.97,233.47,2012-12-03 09:00:00
26.49,16.56,247.82,2012-12-03 12:00:00
19.1,15.49,248.39,2012-12-03 15:00:00
58.88,47.38,248.27,2012-12-15 09:00:00
64.69,53.43,208.05,2012-12-15 12:00:00
52.36,33.83,236.87,2012-12-15 15:00:00
24.52,16.32,205.91,2012-12-16 06:00:00
56.34,51.88,194.93,2012-12-16 09:00:00
70.63,60.8,200.36,2012-12-16 12:00:00
26.24,20.19,114.03,2012-12-16 15:00:00
30.63,17.42,249.07,2012-12-17 06:00:00
56.42,46.85,248.05,2012-12-17 09:00:00
95.67,93.21,244.63,2012-12-17 12:00:00
36.75,32.54,117.17,2012-12-17 15:00:00
62.64,56.87,225.1,2012-12-18 09:00:00
32.55,27.47,133.25,2012-12-18 12:00:00
23.11,21.09,80.52,2012-12-18 15:00:00
22.81,17.57,190.16,2012-12-19 09:00:00
34.32,25.69,228.58,2012-12-20 09:00:00
73.97,64.68,237.68,2012-12-20 12:00:00
37.83,27.0,202.97,2012-12-20 15:00:00
15.76,17.51,28.08,2012-12-25 12:00:00
28.82,18.46,138.65,2012-12-26 12:00:00
14.8,15.16,32.1,2012-12-27 03:00:00
19.37,19.89,123.67,2012-12-27 06:00:00
15.76,15.54,111.96,2012-12-27 12:00:00
17.24,17.48,33.49,2012-12-28 03:00:00
21.77,22.75,187.4,2012-12-28 06:00:00
16.4,16.96,49.91,2012-12-29 15:00:00
43.93,20.11,249.07,2012-12-30 09:00:00
16.04,18.82,39.3,2012-12-30 15:00:00
15.2,15.86,41.77,2012-12-31 09:00:00
16.25,17.21,48.97,2012-12-31 15:00:00
14.49,16.02,26.21,2013-01-01 12:00:00
21.19,20.89,63.46,2013-01-02 09:00:00
52.66,49.01,184.79,2013-01-02 12:00:00
22.13,20.38,202.6,2013-01-02 15:00:00
14.44,15.17,29.1,2013-01-03 12:00:00
28.19,16.86,226.63,2013-01-09 09:00:00
40.25,36.19,147.76,2013-01-14 09:00:00
32.63,32.98,97.35,2013-01-14 12:00:00
18.36,16.81,58.01,2013-01-15 09:00:00
16.76,15.44,74.49,2013-01-17 12:00:00
106.68,108.77,248.84,2013-01-17 15:00:00
19.63,17.54,247.7,2013-01-18 03:00:00
76.86,61.33,249.07,2013-01-20 06:00:00
