segment,mean,median,max
2015-01-08-21,0.00,0.00,0.00
2015-01-08-22,0.00,0.00,0.00
2015-01-08-23,0.00,0.00,0.00
2015-01-09-0,0.00,0.00,0.00
2015-01-09-1,3.74,0.00,31.51
2015-01-09-2,14.04,12.38,54.82
2015-01-09-3,6.46,6.26,22.47
2015-01-09-4,5.51,5.08,24.98
2015-01-09-5,4.14,4.19,22.11
2015-01-09-6,5.07,4.77,22.52
2015-01-09-7,10.24,10.14,27.10
2015-01-09-8,38.41,25.00,137.63
2015-01-09-12,56.81,62.97,133.86
2015-01-09-13,89.81,97.70,140.66
2015-01-09-14,56.64,61.68,232.87
2015-01-09-15,22.33,25.95,224.57
2015-01-09-16,17.40,18.09,30.42
2015-01-09-17,26.36,25.48,58.27
2015-01-09-18,7.01,0.00,58.52
2015-01-09-19,0.00,0.00,0.00
2015-01-09-20,0.00,0.00,0.00
2015-01-09-21,0.00,0.00,0.00
2015-01-09-22,0.00,0.00,0.00
2015-01-09-23,0.00,0.00,0.00
2015-01-10-0,0.00,0.00,0.00
2015-01-10-1,2.60,0.00,33.25
2015-01-10-2,12.52,10.24,32.97
2015-01-10-3,2.92,2.69,20.60
2015-01-10-4,1.82,1.49,5.06
2015-01-10-5,1.84,1.79,23.87
2015-01-10-6,2.98,2.69,21.89
2015-01-10-7,6.94,7.12,16.60
2015-01-10-8,18.20,16.25,52.41
2015-01-10-9,21.46,21.79,48.86
2015-01-10-10,22.61,22.88,62.22
2015-01-10-11,89.33,92.83,164.27
2015-01-10-12,68.25,71.17,120.50
2015-01-10-13,73.16,76.86,137.39
2015-01-10-14,65.11,63.87,138.90
2015-01-10-15,41.20,45.53,219.81
2015-01-10-16,60.09,65.52,127.36
2015-01-10-17,33.54,34.75,73.37
2015-01-10-18,2.17,0.00,56.46
2015-01-10-19,0.00,0.00,0.00
2015-01-10-20,0.00,0.00,0.00
2015-01-10-21,0.00,0.00,0.00
2015-01-10-22,0.00,0.00,0.00
2015-01-10-23,0.00,0.00,0.00
2015-01-11-0,0.00,0.00,0.00
2015-01-11-1,3.62,0.00,40.23
2015-01-11-2,12.72,9.40,39.94
2015-01-11-3,2.53,2.39,8.67
2015-01-11-4,2.22,2.09,5.67
2015-01-11-5,2.59,2.39,7.74
2015-01-11-6,12.93,11.01,37.67
2015-01-11-7,55.14,46.94,182.17
2015-01-11-8,39.24,39.94,88.50
2015-01-11-9,31.59,30.44,135.57
2015-01-11-10,69.58,68.41,170.48
2015-01-11-11,84.43,84.45,178.84
2015-01-11-12,44.81,46.51,96.12
2015-01-11-13,64.48,66.72,162.55
2015-01-11-14,65.36,67.59,198.36
2015-01-11-15,40.75,45.34,68.50
2015-01-11-16,32.79,35.12,62.26
2015-01-11-17,24.55,25.53,58.07
2015-01-11-18,2.62,0.00,53.70
2015-01-11-19,0.00,0.00,0.00
2015-01-11-20,0.00,0.00,0.00
2015-01-11-21,0.00,0.00,0.00
2015-01-11-22,0.00,0.00,0.00
2015-01-11-23,0.00,0.00,0.00
