segment,mean,median,max
2020-01-21-18,0.00,0.00,0.00
2020-01-21-21,0.00,0.00,0.00
2020-01-22-0,6.24,0.00,84.69
2020-01-22-3,5.37,5.75,18.23
2020-01-22-6,6.16,5.45,19.59
2020-01-22-9,39.13,47.09,155.53
2020-01-22-12,33.08,36.90,83.02
2020-01-22-15,11.13,6.03,100.15
2020-01-22-18,0.00,0.00,0.00
2020-01-22-21,0.00,0.00,0.00
2020-01-23-0,4.69,0.00,39.02
2020-01-23-3,5.61,4.86,26.30
2020-01-23-6,3.62,3.98,7.13
2020-01-23-9,5.07,4.98,13.83
2020-01-23-12,3.04,3.27,7.76
2020-01-23-15,10.36,3.39,121.84
2020-01-23-18,0.00,0.00,0.00
2020-01-23-21,0.00,0.00,0.00
2020-01-24-0,5.19,0.00,39.32
2020-01-24-3,3.43,3.51,14.74
2020-01-24-6,3.94,4.06,12.44
2020-01-24-9,3.91,4.28,7.65
2020-01-24-12,5.17,4.98,13.00
2020-01-24-15,8.47,2.79,64.22
2020-01-24-18,0.00,0.00,0.00
2020-01-24-21,0.00,0.00,0.00
2020-01-25-0,4.07,0.00,30.72
2020-01-25-3,3.32,3.30,9.94
2020-01-25-6,3.20,3.38,46.41
2020-01-25-9,5.34,4.86,20.50
2020-01-25-12,2.55,2.79,5.28
2020-01-25-15,6.52,3.50,49.10
2020-01-25-18,0.00,0.00,0.00
2020-01-25-21,0.00,0.00,0.00
2020-01-26-0,5.75,0.00,126.71
2020-01-26-3,3.50,3.38,29.62
2020-01-26-6,4.11,4.12,113.22
2020-01-26-9,3.65,3.86,33.64
2020-01-26-12,4.31,4.57,20.79
2020-01-26-15,9.77,5.39,64.97
2020-01-26-18,0.00,0.00,0.00
2020-01-26-21,0.00,0.00,0.00
2020-01-28-0,0.00,0.00,0.00
2020-01-28-3,4.10,3.68,25.57
2020-01-28-6,6.85,6.70,15.62
2020-01-28-9,3.46,3.50,7.75
2020-01-28-12,2.57,2.68,10.69
2020-01-28-15,6.92,2.79,45.37
2020-01-28-18,0.00,0.00,0.00
2020-01-28-21,0.00,0.00,0.00
2020-01-29-0,5.44,0.00,102.85
2020-01-29-3,8.16,7.75,37.26
2020-01-29-6,15.32,8.95,126.83
2020-01-29-9,47.45,44.07,157.17
2020-01-29-12,7.34,6.46,21.55
2020-01-29-15,12.47,7.38,136.10
2020-01-29-18,0.00,0.00,0.00
2020-01-29-21,0.00,0.00,0.00
2020-01-30-0,4.48,0.00,61.28
2020-01-30-3,4.19,3.86,22.88
2020-01-30-6,12.82,11.82,44.80
2020-01-30-9,15.20,14.81,46.16
2020-01-30-12,25.15,22.63,99.55
2020-01-30-15,24.85,8.08,128.25
2020-01-30-18,0.00,0.00,0.00
2020-01-30-21,0.00,0.00,0.00
2020-01-31-0,4.33,0.00,129.35
2020-01-31-3,10.34,6.86,124.35
2020-01-31-6,9.18,6.86,25.59
2020-01-31-9,38.37,37.17,165.62
2020-01-31-12,9.45,5.47,41.91
2020-01-31-15,0.00,0.00,0.00
2020-01-31-18,0.00,0.00,0.00
2020-01-31-21,0.00,0.00,0.00
2020-02-02-0,0.00,0.00,0.00
2020-02-02-3,0.48,0.00,19.12
2020-02-02-6,7.94,6.79,19.36
2020-02-02-9,4.31,3.69,23.40
2020-02-02-12,2.74,2.91,10.97
2020-02-02-15,9.77,4.09,150.49
2020-02-02-18,0.00,0.00,0.00
2020-02-02-21,0.00,0.00,0.00
2020-02-03-0,0.88,0.00,34.01
2020-02-03-3,17.78,18.29,33.31
2020-02-03-6,20.85,21.93,54.38
2020-02-03-9,11.86,11.87,27.04
2020-02-03-12,8.27,8.76,16.95
2020-02-03-15,8.83,3.50,74.54
2020-02-03-18,0.00,0.00,0.00
2020-02-03-21,0.00,0.00,0.00
2020-02-04-0,2.32,0.00,125.24
2020-02-04-3,14.60,12.21,125.83
2020-02-04-6,15.76,16.09,27.92
2020-02-04-9,37.29,35.10,122.36
2020-02-04-12,14.62,14.74,42.00
2020-02-04-15,11.63,7.03,75.04
2020-02-04-18,0.00,0.00,0.00
2020-02-04-21,0.00,0.00,0.00
2020-02-05-0,0.52,0.00,42.66
2020-02-05-3,19.08,20.94,49.19
2020-02-05-9,23.05,24.45,53.33
2020-02-05-12,11.05,9.51,44.30
2020-02-05-15,9.13,3.32,107.57
2020-02-05-18,0.00,0.00,0.00
2020-02-05-21,0.00,0.00,0.00
2020-02-06-0,0.00,0.00,0.00
2020-02-06-12,43.00,36.57,165.23
2020-02-06-15,15.66,12.73,75.42
2020-02-06-18,0.00,0.00,0.00
2020-02-06-21,0.00,0.00,0.00
2020-02-07-0,0.00,0.00,0.00
2020-02-07-15,17.12,19.80,233.36
2020-02-07-18,0.00,0.00,0.00
2020-02-07-21,0.00,0.00,0.00
2020-02-08-0,2.06,0.00,224.48
2020-02-08-9,24.25,25.21,35.69
2020-02-08-15,10.31,0.00,224.48
2020-02-08-18,0.00,0.00,0.00
2020-02-08-21,0.00,0.00,0.00
2020-02-09-0,0.00,0.00,0.00
2020-02-09-15,10.58,0.00,59.56
2020-02-09-18,0.00,0.00,0.00
2020-02-09-21,0.00,0.00,0.00
2020-02-10-0,0.22,0.00,138.75
2020-02-10-3,17.24,11.39,138.74
2020-02-10-6,17.09,18.70,29.11
2020-02-10-15,10.75,0.00,57.60
2020-02-10-18,0.00,0.00,0.00
2020-02-10-21,0.00,0.00,0.00
2020-02-11-0,0.00,0.00,0.00
2020-02-11-3,11.34,9.78,43.33
2020-02-11-6,17.42,16.60,248.84
2020-02-11-9,18.29,17.52,35.15
2020-02-11-12,3.44,0.00,29.32
2020-02-11-15,0.00,0.00,0.00
2020-02-11-18,0.00,0.00,0.00
2020-02-11-21,0.00,0.00,0.00
2020-02-12-0,0.00,0.00,0.00
2020-02-12-3,9.01,4.85,128.76
2020-02-12-6,8.88,7.15,248.62
2020-02-12-9,53.50,58.86,160.28
2020-02-12-12,18.07,15.44,60.17
2020-02-12-15,14.41,17.20,54.08
2020-02-12-18,0.00,0.00,0.00
2020-02-12-21,0.00,0.00,0.00
2020-02-13-0,0.00,0.00,0.00
2020-02-13-3,8.40,4.86,130.23
2020-02-13-6,4.37,4.45,20.92
2020-02-13-9,8.44,7.21,31.57
2020-02-13-12,0.95,0.00,19.41
2020-02-13-15,0.00,0.00,0.00
2020-02-13-18,0.00,0.00,0.00
2020-02-13-21,0.00,0.00,0.00
2020-02-14-0,0.00,0.00,0.00
2020-02-14-3,8.26,4.32,129.65
2020-02-14-6,4.21,4.57,9.56
2020-02-14-9,4.81,4.76,24.03
2020-02-14-12,5.46,5.28,22.36
2020-02-14-15,8.74,5.15,141.10
2020-02-14-18,0.00,0.00,0.00
2020-02-14-21,0.00,0.00,0.00
2020-02-15-0,0.00,0.00,0.00
2020-02-15-3,8.74,4.97,221.54
2020-02-15-6,4.52,4.86,10.25
2020-02-15-9,9.26,4.86,156.89
2020-02-15-12,29.74,21.48,189.35
2020-02-15-15,9.09,4.28,168.99
2020-02-15-18,0.00,0.00,0.00
