segment,mean,median,max
2016-01-01-3,70.14,43.68,239.45
2016-01-01-6,89.74,66.03,239.45
2016-01-01-9,80.41,54.54,239.45
2016-01-01-12,30.67,27.59,200.6
2016-01-02-9,61.92,51.06,216.66
2016-01-02-12,22.97,21.07,70.17
2016-01-02-15,21.04,20.85,70.79
2016-01-05-9,15.55,15.75,171.29
2016-01-06-6,49.27,22.6,239.45
2016-01-06-9,111.97,108.18,244.97
2016-01-06-12,37.08,30.66,199.64
2016-01-06-15,25.74,21.42,100.39
2016-01-07-9,68.99,40.25,249.07
2016-01-07-12,44.44,37.47,193.18
2016-01-07-15,23.72,21.24,130.41
2016-01-08-9,33.9,23.48,239.45
2016-01-08-12,44.71,37.5,200.2
2016-01-09-9,39.66,32.07,198.32
2016-01-09-12,30.31,19.92,134.78
2016-01-10-9,59.07,53.49,214.08
2016-01-10-12,39.92,30.57,219.85
2016-01-11-15,25.72,22.52,79.15
2016-01-12-6,31.03,22.4,221.81
2016-01-12-9,23.53,21.3,87.95
2016-01-12-12,29.56,21.34,173.35
2016-01-13-12,32.12,28.29,166.53
2016-01-14-12,28.11,24.81,80.52
2016-01-14-15,37.76,31.91,163.04
2016-01-15-12,34.28,26.26,228.69
2016-01-16-9,31.23,16.59,247.59
2016-01-19-3,30.64,17.8,167.48
2016-01-19-9,57.14,42.88,234.62
2016-01-19-12,17.29,16.3,60.03
2016-01-20-9,130.92,139.26,247.36
2016-01-20-12,94.83,76.48,249.07
2016-01-20-15,110.75,100.86,249.07
2016-01-21-3,28.18,24.15,244.4
2016-01-21-9,101.46,96.25,249.07
2016-01-21-12,45.95,42.38,220.94
2016-01-21-15,67.33,69.42,185.61
2016-01-22-3,20.62,18.77,223.63
2016-01-22-6,31.91,28.97,198.8
2016-01-22-9,99.96,88.64,249.07
2016-01-22-12,60.54,55.45,233.72
2016-01-22-15,32.4,30.02,129.13
2016-01-23-3,23.31,21.52,231.38
2016-01-23-12,102.8,119.91,243.49
2016-01-23-15,46.6,51.15,103.72
2016-01-24-3,19.63,19.69,93.14
2016-01-24-6,26.02,23.53,206.59
2016-01-24-12,90.14,98.43,247.82
2016-01-24-15,53.61,36.15,229.03
2016-01-25-9,21.16,19.81,202.38
2016-01-25-15,14.32,18.13,41.83
2016-01-26-9,18.72,15.13,227.2
2016-01-26-15,16.65,19.89,47.31
2016-01-27-12,24.9,20.14,248.96
2016-01-27-15,16.22,16.64,82.5
2016-01-28-9,84.34,79.46,244.51
2016-01-28-12,52.49,53.75,218.81
2016-01-28-15,18.02,15.84,248.37
2016-01-29-12,17.34,18.14,55.33
2016-01-29-15,18.84,19.29,218.64
2016-01-31-6,40.69,27.29,219.47
2016-01-31-9,54.26,44.03,247.13
2016-01-31-12,76.09,61.88,236.13
2016-01-31-15,76.05,61.72,232.73
2016-02-01-3,28.92,26.08,228.76
2016-02-01-6,68.85,61.06,236.44
2016-02-01-9,27.84,19.99,215.33
2016-02-01-12,20.42,16.34,67.67
2016-02-02-15,35.72,25.94,190.1
2016-02-03-3,49.13,49.68,208.87
2016-02-03-6,44.06,35.74,248.96
2016-02-03-9,29.14,24.18,229.91
2016-02-04-12,38.64,31.42,207.86
2016-02-05-9,66.68,62.14,220.23
2016-02-05-12,35.57,30.38,161.3
2016-02-06-9,34.48,31.2,173.68
2016-02-07-12,78.56,74.4,215.47
2016-02-07-15,59.34,50.86,213.08
2016-02-08-3,20.66,18.72,197.4
2016-02-08-6,66.5,56.19,249.07
2016-02-08-9,32.44,24.34,216.31
2016-02-09-9,83.75,57.16,249.07
2016-02-09-12,64.47,57.06,232.59
2016-02-09-15,20.13,16.67,122.02
2016-02-10-9,35.31,29.33,224.5
2016-02-11-6,39.12,39.43,189.32
2016-02-11-9,44.36,32.72,159.37
2016-02-11-12,68.14,63.9,231.72
2016-02-11-15,46.39,48.59,145.02
2016-02-12-9,84.02,60.16,249.07
2016-02-12-12,106.4,101.0,249.07
2016-02-13-6,20.92,20.17,163.38
2016-02-13-9,47.5,35.11,236.76
2016-02-13-12,23.89,19.85,84.34
2016-02-14-6,52.88,29.93,248.16
2016-02-14-9,60.57,52.33,237.96
2016-02-14-12,32.78,27.3,131.87
2016-02-14-15,48.66,24.62,237.77
2016-02-15-6,30.42,25.38,177.11
2016-02-15-9,49.69,39.03,248.32
2016-02-15-12,42.02,42.04,122.27
2016-02-15-15,17.23,15.42,129.19
2016-02-16-9,113.23,94.75,249.07
2016-02-16-12,136.34,137.73,249.07
2016-02-17-6,83.81,75.09,248.96
2016-02-17-9,64.81,53.21,249.07
2016-02-17-12,100.05,82.42,245.28
2016-02-18-3,28.14,16.34,249.07
2016-02-18-6,93.56,72.2,249.07
2016-02-18-9,76.27,57.23,249.07
