segment,mean,median,max
2019-01-01-9,56.51,56.32,176.45
2019-01-04-9,38.02,38.93,104.83
2019-01-04-12,65.46,58.41,234.34
2019-01-04-15,38.39,31.11,222.49
2019-01-05-3,20.66,18.64,106.83
2019-01-05-9,31.37,25.28,199.27
2019-01-05-12,38.1,30.27,195.25
2019-01-06-9,40.22,43.76,190.66
2019-01-06-12,39.36,38.15,116.78
2019-01-07-9,21.81,20.53,64.71
2019-01-08-9,20.73,20.66,46.58
2019-01-11-6,22.37,18.84,71.97
2019-01-17-15,18.01,15.26,101.04
2019-01-18-3,17.02,15.73,248.84
2019-01-18-9,31.37,18.97,151.83
2019-01-20-15,23.95,26.07,59.05
2019-01-21-9,27.28,28.47,41.7
2019-01-21-12,25.24,26.66,36.26
2019-01-21-15,20.89,21.94,223.89
2019-01-22-6,26.07,23.65,249.07
2019-01-22-12,20.4,20.42,31.22
2019-01-22-15,17.86,17.58,103.54
2019-01-23-6,19.38,18.54,248.73
2019-01-23-9,74.74,91.27,227.96
2019-01-24-6,43.04,44.11,248.39
2019-01-24-9,31.44,31.43,248.96
2019-01-24-12,22.89,22.8,63.69
2019-01-24-15,19.16,20.66,60.8
2019-01-25-6,24.21,17.46,147.14
2019-01-25-9,26.02,24.81,79.21
2019-01-25-12,34.37,27.19,136.0
2019-01-25-15,18.45,15.03,64.2
2019-01-26-12,39.98,28.47,126.3
2019-01-26-15,17.26,16.06,55.72
2019-01-31-9,52.61,34.0,238.36
2019-01-31-12,105.28,106.61,247.13
2019-01-31-15,57.08,35.78,236.32
2019-02-01-3,21.7,20.83,67.95
2019-02-01-6,54.68,45.85,248.73
2019-02-01-9,51.43,38.63,239.45
2019-02-01-12,71.36,49.51,237.96
2019-02-01-15,63.79,48.01,234.37
2019-02-02-6,56.07,24.22,239.45
2019-02-02-9,75.3,65.71,237.66
2019-02-02-12,66.96,63.5,199.26
2019-02-02-15,43.34,23.22,204.92
2019-02-04-12,21.91,19.92,92.78
2019-02-04-15,19.4,20.08,61.92
2019-02-08-9,24.0,23.7,90.28
2019-02-09-9,20.54,17.85,81.77
2019-02-09-12,18.05,17.06,60.89
2019-02-11-15,22.04,23.8,97.94
2019-02-13-3,14.69,15.8,34.76
2019-02-13-6,35.3,25.63,164.38
2019-02-13-9,52.36,48.29,173.7
2019-02-13-12,50.65,47.33,144.05
2019-02-14-3,13.23,16.08,32.3
2019-02-14-6,21.6,23.93,39.64
2019-02-14-9,47.1,36.17,205.1
2019-02-17-12,17.43,19.89,28.63
2019-02-18-12,24.01,26.02,43.86
2019-02-20-9,22.31,23.23,34.89
2019-02-21-6,21.59,20.66,248.84
2019-02-21-9,55.08,26.14,248.84
2019-02-21-12,73.05,62.23,235.09
2019-02-22-9,16.17,15.43,55.16
2019-02-27-12,102.33,102.5,246.22
2019-02-28-6,19.04,20.12,72.2
2019-02-28-9,90.52,82.92,239.45
2019-02-28-12,76.78,59.58,239.15
2019-03-01-6,38.9,22.81,231.98
2019-03-01-9,82.17,73.19,228.99
2019-03-01-12,24.74,22.1,136.94
2019-03-02-6,23.34,23.28,66.97
2019-03-02-9,50.85,35.81,211.64
2019-03-02-12,76.92,64.75,226.59
2019-03-04-9,76.49,74.85,215.11
2019-03-04-12,99.1,97.96,200.88
2019-03-08-9,23.17,19.92,115.44
2019-03-09-12,19.69,15.58,84.15
2019-03-12-9,30.47,31.7,75.56
2019-03-12-12,20.08,19.04,57.29
2019-03-14-6,17.64,17.75,36.51
2019-03-14-12,43.49,34.68,172.47
2019-03-15-6,18.84,20.74,36.01
2019-03-16-6,17.87,20.18,69.98
2019-03-16-9,62.72,58.9,214.62
2019-03-16-12,32.44,27.66,105.17
2019-03-17-6,87.97,87.45,239.45
2019-03-17-9,32.23,27.45,164.84
2019-03-20-6,20.4,20.61,34.17
2019-03-20-9,26.01,23.17,79.75
2019-03-20-12,22.37,26.96,73.25
2019-03-22-9,17.59,20.33,29.92
2019-03-22-12,16.25,19.34,39.01
2019-03-27-9,17.5,15.85,61.85
2019-03-28-6,40.96,36.27,217.74
2019-03-29-9,24.88,23.53,74.1
2019-03-31-6,38.21,31.29,131.97
2019-03-31-12,42.71,25.41,190.99
2019-04-01-6,36.33,31.82,196.1
2019-04-01-9,54.93,51.47,213.55
2019-04-01-12,44.37,40.67,216.67
2019-04-03-6,34.75,33.51,233.99
2019-04-03-9,41.16,29.83,223.75
2019-04-03-12,60.25,51.11,238.43
2019-04-04-9,60.35,45.59,234.59
2019-04-04-12,26.75,18.85,216.53
2019-04-05-6,33.98,32.94,237.72
