time,humidity_mean,humidity_median,humidity_max,humidity_p75
2020-01-01-00,89.82369232177734,91.69815063476562,97.58291625976562,96.44033813476562
2020-01-01-01,88.73373413085938,91.46566772460938,96.14096069335938,94.23519897460938
2020-01-01-02,88.32412719726562,92.31690979003906,94.63331604003906,92.71046447753906
2020-01-01-03,88.37249755859375,91.36311340332031,94.83381652832031,93.96516418457031
2020-01-01-04,87.86133575439453,89.83610534667969,95.10417175292969,92.59294128417969
2020-01-01-05,88.31358337402344,90.36843872070312,95.66189575195312,92.15408325195312
2020-01-01-06,88.05350494384766,89.73069763183594,95.68675231933594,91.51243591308594
2020-01-01-07,88.82108306884766,89.8736572265625,96.1846923828125,91.4361572265625
2020-01-01-08,89.34097290039062,90.81428527832031,96.46223449707031,91.63508605957031
2020-01-01-09,89.06205749511719,89.91204833984375,95.88763427734375,92.70208740234375
2020-01-01-10,97.10240936279297,97.82916259765625,100.95928955078125,98.63873291015625
2020-01-01-11,93.85208129882812,94.62283325195312,99.00369262695312,97.09671020507812
2020-01-01-12,92.29242706298828,92.67068481445312,98.26443481445312,96.26248168945312
2020-01-01-13,91.07327270507812,90.45619201660156,97.63563537597656,95.48719787597656
2020-01-01-14,90.7630615234375,89.39402770996094,97.98973083496094,96.11619567871094
2020-01-01-15,89.92533111572266,87.9427490234375,96.6011962890625,95.9381103515625
2020-01-01-16,89.66867065429688,87.585205078125,95.15771484375,94.982177734375
2020-01-01-17,89.60006713867188,89.30569458007812,95.29031372070312,94.61404418945312
2020-01-01-18,89.65969848632812,90.1162109375,96.19677734375,94.16845703125
2020-01-01-19,89.98410034179688,90.80804443359375,96.62884521484375,93.95550537109375
2020-01-01-20,90.29907989501953,92.00508117675781,97.22090148925781,93.99824523925781
2020-01-01-21,90.70159149169922,92.21273803710938,97.92245483398438,93.47933959960938
2020-01-01-22,90.33638763427734,93.01222229003906,97.96632385253906,94.64308166503906
2020-01-01-23,89.51596069335938,91.97087097167969,97.57341003417969,93.37467956542969
2020-01-02-00,89.57801055908203,92.39973449707031,98.17073059082031,93.95783996582031
2020-01-02-01,89.19285583496094,92.38296508789062,97.52603149414062,94.17495727539062
2020-01-02-02,89.55235290527344,92.89480590820312,97.86404418945312,94.43093872070312
2020-01-02-03,89.95262908935547,94.02923583984375,97.53411865234375,94.74456787109375
2020-01-02-04,90.02677154541016,94.210693359375,97.251220703125,94.866455078125
2020-01-02-05,90.08212280273438,94.14744567871094,96.87742614746094,94.70164489746094
2020-01-02-06,90.15996551513672,93.552490234375,97.232177734375,94.598388671875
2020-01-02-07,90.5715103149414,93.69917297363281,98.82319641113281,95.69575500488281
2020-01-02-08,90.57401275634766,93.7926025390625,99.0015869140625,95.6729736328125
2020-01-02-09,90.5803451538086,93.95745849609375,99.00140380859375,95.49359130859375
2020-01-02-10,90.09967041015625,93.49224853515625,99.95074462890625,95.30377197265625
2020-01-02-11,90.025146484375,93.389892578125,100.071044921875,95.446044921875
2020-01-02-12,90.01327514648438,93.00552368164062,100.30630493164062,94.91226196289062
2020-01-02-13,90.87104797363281,93.26020812988281,100.11860656738281,95.46382141113281
2020-01-02-14,90.74293518066406,93.20436096191406,99.17701721191406,94.87818908691406
2020-01-02-15,90.27088928222656,92.37049865722656,98.06288146972656,94.02919006347656
2020-01-02-16,90.09201049804688,91.61994934082031,97.40510559082031,93.17097473144531
2020-01-02-17,90.06637573242188,90.60511779785156,96.98133850097656,92.57460021972656
2020-01-02-18,89.25167083740234,88.78565979003906,95.80128479003906,92.03077697753906
2020-01-02-19,88.44960021972656,87.42672729492188,94.78707885742188,92.04220581054688
2020-01-02-20,87.8904800415039,85.62727355957031,94.25227355957031,91.87385559082031
2020-01-02-21,87.15481567382812,85.45622253417969,94.02360534667969,91.27873229980469
2020-01-02-22,85.87216186523438,86.0064697265625,94.1231689453125,90.0933837890625
2020-01-02-23,85.94813537597656,83.84999084472656,94.91517639160156,88.95668029785156
